country,year,guests
Cəmi,2012,372117.0
Cəmi,2013,395461.0
Cəmi,2014,392790.0
Cəmi,2015,495648.0
Cəmi,2016,776784.0
Cəmi,2017,981232.0
Cəmi,2018,1234392.0
Cəmi,2019,1316739.0
Cəmi,2020,267383.0
Cəmi,2021,271563.0
Cəmi,2022,907953.0
Cəmi,2023,1081425.0
Cəmi,2024,1354027.0
ABŞ,2012,19578.0
ABŞ,2013,27398.0
ABŞ,2014,21291.0
ABŞ,2015,24795.0
ABŞ,2016,21682.0
ABŞ,2017,29532.0
ABŞ,2018,31232.0
ABŞ,2019,29964.0
ABŞ,2020,7217.0
ABŞ,2021,8439.0
ABŞ,2022,35358.0
ABŞ,2023,35411.0
ABŞ,2024,58672.0
Almaniya,2012,20358.0
Almaniya,2013,16058.0
Almaniya,2014,17904.0
Almaniya,2015,17000.0
Almaniya,2016,18116.0
Almaniya,2017,21901.0
Almaniya,2018,18526.0
Almaniya,2019,17571.0
Almaniya,2020,6283.0
Almaniya,2021,9487.0
Almaniya,2022,16454.0
Almaniya,2023,19656.0
Almaniya,2024,23113.0
Belarus,2017,8607.0
Belarus,2018,4772.0
Belarus,2019,4984.0
Belarus,2020,1051.0
Belarus,2021,1953.0
Belarus,2022,3707.0
Belarus,2023,7553.0
Belarus,2024,7634.0
Belçika,2012,1613.0
Belçika,2013,1608.0
Belçika,2014,2455.0
Belçika,2015,2129.0
Belçika,2016,3890.0
Belçika,2017,4534.0
Belçika,2018,2267.0
Belçika,2019,2465.0
Belçika,2020,715.0
Belçika,2021,2509.0
Belçika,2022,2563.0
Belçika,2023,2394.0
Belçika,2024,2658.0
Bəhreyn,2018,13128.0
Bəhreyn,2019,15667.0
Bəhreyn,2020,1460.0
Bəhreyn,2021,1012.0
Bəhreyn,2022,4939.0
Bəhreyn,2023,6159.0
Bəhreyn,2024,6620.0
BƏƏ,2018,171842.0
BƏƏ,2019,142876.0
BƏƏ,2020,19351.0
BƏƏ,2021,20374.0
