country,year,nights
Cəmi,2012,803089.0
Cəmi,2013,821552.0
Cəmi,2014,802549.0
Cəmi,2015,958939.0
Cəmi,2016,1406264.0
Cəmi,2017,1704454.0
Cəmi,2018,2050010.0
Cəmi,2019,2240873.0
Cəmi,2020,416729.0
Cəmi,2021,414404.0
Cəmi,2022,1394115.0
Cəmi,2023,1863980.0
Cəmi,2024,2348013.0
ABŞ,2012,47813.0
ABŞ,2013,61375.0
ABŞ,2014,45107.0
ABŞ,2015,42106.0
ABŞ,2016,36128.0
ABŞ,2017,68276.0
ABŞ,2018,52338.0
ABŞ,2019,45028.0
ABŞ,2020,9468.0
ABŞ,2021,11730.0
ABŞ,2022,47800.0
ABŞ,2023,54127.0
ABŞ,2024,89307.0
Almaniya,2012,41054.0
Almaniya,2013,34070.0
Almaniya,2014,31513.0
Almaniya,2015,30356.0
Almaniya,2016,30528.0
Almaniya,2017,36370.0
Almaniya,2018,24493.0
Almaniya,2019,25186.0
Almaniya,2020,7810.0
Almaniya,2021,11103.0
Almaniya,2022,20320.0
Almaniya,2023,27646.0
Almaniya,2024,32269.0
Belarus,2017,19983.0
Belarus,2018,7141.0
Belarus,2019,9164.0
Belarus,2020,4539.0
Belarus,2021,4588.0
Belarus,2022,5102.0
Belarus,2023,13861.0
Belarus,2024,13524.0
Belçika,2012,2697.0
Belçika,2013,2068.0
Belçika,2014,2870.0
Belçika,2015,3182.0
Belçika,2016,4669.0
Belçika,2017,7142.0
Belçika,2018,3334.0
Belçika,2019,4175.0
Belçika,2020,829.0
Belçika,2021,2589.0
Belçika,2022,3268.0
Belçika,2023,3615.0
Belçika,2024,4258.0
Bəhreyn,2018,20826.0
Bəhreyn,2019,23191.0
Bəhreyn,2020,2971.0
Bəhreyn,2021,1707.0
Bəhreyn,2022,7092.0
Bəhreyn,2023,11032.0
Bəhreyn,2024,15897.0
BƏƏ,2018,281992.0
BƏƏ,2019,263129.0
BƏƏ,2020,38292.0
BƏƏ,2021,40777.0
BƏƏ,2022,146532.0
BƏƏ,2023,135243.0
BƏƏ,2024,139171.0
Bolqarıstan,2017,3142.0
Bolqarıstan,2018,2006.0
Bolqarıstan,2019,3221.0
Bolqarıstan,2020,563.0
Bolqarıstan,2021,624.0
Bolqarıstan,2022,1142.0
Bolqarıstan,2023,1912.0
Bolqarıstan,2024,3991.0
Böyük Britaniya,2012,139979.0
