country,year,service_value
Cəmi,2012,20270.8
Cəmi,2013,34276.7
Cəmi,2014,25672.2
Cəmi,2015,24063.4
Cəmi,2016,111188.1
Cəmi,2017,155830.1
Cəmi,2018,200221.8
Cəmi,2019,249351.9
Cəmi,2020,35733.1
Cəmi,2021,47342.1
Cəmi,2022,138766.6
Cəmi,2023,199754.2
Cəmi,2024,323283.7
ABŞ,2012,1574.0
ABŞ,2013,6700.0
ABŞ,2014,3226.3
ABŞ,2015,1550.1
ABŞ,2016,3664.6
ABŞ,2017,6370.0
ABŞ,2018,7077.6
ABŞ,2019,7313.7
ABŞ,2020,1086.9
ABŞ,2021,1535.4
ABŞ,2022,5196.6
ABŞ,2023,7716.2
ABŞ,2024,20422.0
Almaniya,2012,851.6
Almaniya,2013,956.5
Almaniya,2014,531.1
Almaniya,2015,684.4
Almaniya,2016,3002.0
Almaniya,2017,3967.4
Almaniya,2018,2887.6
Almaniya,2019,4376.4
Almaniya,2020,854.6
Almaniya,2021,1415.5
Almaniya,2022,2418.4
Almaniya,2023,3523.2
Almaniya,2024,6148.4
Belarus,2017,1311.0
Belarus,2018,785.6
Belarus,2019,902.0
Belarus,2020,282.3
Belarus,2021,316.2
Belarus,2022,527.4
Belarus,2023,1442.4
Belarus,2024,1595.8
Belçika,2012,186.9
Belçika,2013,189.4
Belçika,2014,107.6
Belçika,2015,118.9
Belçika,2016,550.7
Belçika,2017,672.1
Belçika,2018,439.3
Belçika,2019,485.4
Belçika,2020,81.4
Belçika,2021,279.4
Belçika,2022,413.6
Belçika,2023,511.2
Belçika,2024,862.4
Bəhreyn,2018,1570.4
Bəhreyn,2019,2476.6
Bəhreyn,2020,157.1
Bəhreyn,2021,153.4
Bəhreyn,2022,806.3
Bəhreyn,2023,969.5
Bəhreyn,2024,1844.9
BƏƏ,2018,26986.4
BƏƏ,2019,24776.9
BƏƏ,2020,3040.2
BƏƏ,2021,3941.3
BƏƏ,2022,14012.7
BƏƏ,2023,13555.4
BƏƏ,2024,18875.9
Bolqarıstan,2017,323.2
Bolqarıstan,2018,272.8
Bolqarıstan,2019,299.0
Bolqarıstan,2020,52.5
Bolqarıstan,2021,52.8
Bolqarıstan,2022,163.2
Bolqarıstan,2023,266.2
Bolqarıstan,2024,566.4
Böyük Britaniya,2012,3920.3
Böyük Britaniya,2013,5381.7
Böyük Britaniya,2014,2697.7
Böyük Britaniya,2015,3247.8
Böyük Britaniya,2016,8631.8
Böyük Britaniya,2017,14530.3
Böyük Britaniya,2018,7061.2
Böyük Britaniya,2019,14306.0
Böyük Britaniya,2020,2637.0
Böyük Britaniya,2021,5518.4
Böyük Britaniya,2022,6343.1
Böyük Britaniya,2023,8798.5
Böyük Britaniya,2024,13262.5
Çexiya Respublikası,2017,342.7
Çexiya Respublikası,2018,286.5
Çexiya Respublikası,2019,372.6
Çexiya Respublikası,2020,58.2
Çexiya Respublikası,2021,155.4
Çexiya Respublikası,2022,178.8
Çexiya Respublikası,2023,360.4
Çexiya Respublikası,2024,548.7
Çin,2012,185.5
Çin,2013,184.4
Çin,2014,198.3
Çin,2015,174.5
Çin,2016,1198.6
Çin,2017,1464.6
Çin,2018,1599.1
Çin,2019,3083.0
Çin,2020,232.0
Çin,2021,198.5
Çin,2022,720.4
Çin,2023,3261.0
Çin,2024,6073.5
Estoniya,2017,223.2
Estoniya,2018,139.1
Estoniya,2019,19.5
Estoniya,2020,140.7
Estoniya,2021,36.2
Estoniya,2022,166.1
Estoniya,2023,208.2
Estoniya,2024,339.4
Finlandiya,2012,40.7
Finlandiya,2013,39.1
Finlandiya,2014,33.4
Finlandiya,2015,78.5
Finlandiya,2016,293.4
Finlandiya,2017,219.0
Finlandiya,2018,240.9
Finlandiya,2019,293.6
Finlandiya,2020,13.2
Finlandiya,2021,31.8
Finlandiya,2022,131.4
Finlandiya,2023,186.3
Finlandiya,2024,367.2
Fransa,2012,442.0
Fransa,2013,691.8
Fransa,2014,494.5
Fransa,2015,535.6
Fransa,2016,2539.6
Fransa,2017,1799.4
Fransa,2018,1567.5
Fransa,2019,2088.2
Fransa,2020,293.7
Fransa,2021,774.0
Fransa,2022,1029.8
Fransa,2023,1796.3
Fransa,2024,2417.0
Gürcüstan,2012,400.7
Gürcüstan,2013,505.5
Gürcüstan,2014,337.7
Gürcüstan,2015,234.0
Gürcüstan,2016,2516.6
Gürcüstan,2017,2204.0
Gürcüstan,2018,1526.5
Gürcüstan,2019,2187.5
Gürcüstan,2020,335.5
Gürcüstan,2021,397.7
Gürcüstan,2022,1859.3
Gürcüstan,2023,3399.5
Gürcüstan,2024,2849.1
Hindistan,2012,164.5
Hindistan,2013,251.6
Hindistan,2014,302.3
Hindistan,2015,257.2
Hindistan,2016,820.0
Hindistan,2017,2408.1
Hindistan,2018,7742.6
Hindistan,2019,14172.4
Hindistan,2020,1670.6
Hindistan,2021,689.3
Hindistan,2022,6560.4
Hindistan,2023,16946.9
Hindistan,2024,45202.3
İraq,2018,3252.8
İraq,2019,1987.1
İraq,2020,363.7
İraq,2021,87.5
İraq,2022,448.7
İraq,2023,378.9
İraq,2024,648.0
İran,2012,163.6
İran,2013,158.7
İran,2014,321.2
İran,2015,175.4
İran,2016,5753.1
İran,2017,10492.9
İran,2018,6989.1
İran,2019,6481.3
İran,2020,568.8
İran,2021,346.4
İran,2022,1035.0
İran,2023,987.8
İran,2024,1010.1
