year,indicator,value
2006,hotel_count,285.0
2007,hotel_count,320.0
2008,hotel_count,370.0
2009,hotel_count,452.0
2010,hotel_count,499.0
2011,hotel_count,508.0
2012,hotel_count,514.0
2013,hotel_count,530.0
2014,hotel_count,535.0
2015,hotel_count,536.0
2016,hotel_count,548.0
2017,hotel_count,563.0
2018,hotel_count,596.0
2019,hotel_count,642.0
2020,hotel_count,655.0
2021,hotel_count,685.0
2022,hotel_count,727.0
2023,hotel_count,758.0
2024,hotel_count,813.0
2006,capacity,24706.0
2007,capacity,25483.0
2008,capacity,28286.0
2009,capacity,30571.0
2010,capacity,30793.0
2011,capacity,31979.0
2012,capacity,32834.0
2013,capacity,33951.0
2014,capacity,35652.0
2015,capacity,37278.0
2016,capacity,40042.0
2017,capacity,41611.0
2018,capacity,46693.0
2019,capacity,49980.0
2020,capacity,50687.0
2021,capacity,53049.0
2022,capacity,56562.0
2023,capacity,59407.0
2024,capacity,67376.0
2006,rooms,11403.0
2007,rooms,11829.0
2008,rooms,12789.0
2009,rooms,13964.0
2010,rooms,14158.0
2011,rooms,14815.0
2012,rooms,15898.0
2013,rooms,16559.0
2014,rooms,17363.0
2015,rooms,17953.0
2016,rooms,20330.0
2017,rooms,20778.0
2018,rooms,22192.0
2019,rooms,23865.0
2020,rooms,24195.0
2021,rooms,25445.0
2022,rooms,27312.0
2023,rooms,28688.0
2024,rooms,31750.0
2006,guests_total,291617.0
2007,guests_total,305483.0
2008,guests_total,431574.0
2009,guests_total,424237.0
2010,guests_total,438479.0
2011,guests_total,510162.0
2012,guests_total,624924.0
2013,guests_total,666348.0
2014,guests_total,672345.0
2015,guests_total,838145.0
2016,guests_total,1122068.0
2017,guests_total,1414708.0
2018,guests_total,1749475.0
2019,guests_total,1919765.0
2020,guests_total,668813.0
2021,guests_total,1172123.0
2022,guests_total,1697358.0
2023,guests_total,1945059.0
2024,guests_total,2380247.0
2006,guests_domestic,141081.0
2007,guests_domestic,152430.0
2008,guests_domestic,207462.0
2009,guests_domestic,215369.0
2010,guests_domestic,226123.0
2011,guests_domestic,252175.0
2012,guests_domestic,252807.0
2013,guests_domestic,270887.0
2014,guests_domestic,279555.0
2015,guests_domestic,342497.0
2016,guests_domestic,345284.0
2017,guests_domestic,433476.0
2018,guests_domestic,515083.0
2019,guests_domestic,603026.0
2020,guests_domestic,401430.0
2021,guests_domestic,900560.0
2022,guests_domestic,789405.0
2023,guests_domestic,863634.0
2024,guests_domestic,1026220.0
2006,guests_foreign,150536.0
2007,guests_foreign,153053.0
2008,guests_foreign,224112.0
2009,guests_foreign,208868.0
2010,guests_foreign,212356.0
2011,guests_foreign,257987.0
2012,guests_foreign,372117.0
2013,guests_foreign,395461.0
2014,guests_foreign,392790.0
2015,guests_foreign,495648.0
2016,guests_foreign,776784.0
2017,guests_foreign,981232.0
2018,guests_foreign,1234392.0
2019,guests_foreign,1316739.0
2020,guests_foreign,267383.0
2021,guests_foreign,271563.0
2022,guests_foreign,907953.0
2023,guests_foreign,1081425.0
2024,guests_foreign,1354027.0
2006,nights_total,1115013.0
2007,nights_total,1131442.0
2008,nights_total,1360252.0
2009,nights_total,1315135.0
2010,nights_total,1358286.0
2011,nights_total,1504312.0
2012,nights_total,1640863.0
2013,nights_total,1674065.0
2014,nights_total,1687457.0
2015,nights_total,1644056.0
2016,nights_total,2125266.0
2017,nights_total,2590641.0
2018,nights_total,3002959.0
2019,nights_total,3345285.0
2020,nights_total,999786.0
2021,nights_total,1788716.0
2022,nights_total,2647178.0
2023,nights_total,3422324.0
2024,nights_total,4282800.0
2006,nights_domestic,557698.0
2007,nights_domestic,558352.0
2008,nights_domestic,723574.0
2009,nights_domestic,753792.0
2010,nights_domestic,790230.0
2011,nights_domestic,830501.0
2012,nights_domestic,837774.0
2013,nights_domestic,852513.0
2014,nights_domestic,884908.0
2015,nights_domestic,685117.0
2016,nights_domestic,719002.0
2017,nights_domestic,886187.0
2018,nights_domestic,952949.0
2019,nights_domestic,1104412.0
2020,nights_domestic,583057.0
2021,nights_domestic,1374312.0
2022,nights_domestic,1253063.0
2023,nights_domestic,1558344.0
2024,nights_domestic,1934787.0
2006,nights_foreign,557315.0
2007,nights_foreign,573090.0
2008,nights_foreign,636678.0
2009,nights_foreign,561343.0
2010,nights_foreign,568056.0
2011,nights_foreign,673811.0
2012,nights_foreign,803089.0
2013,nights_foreign,821552.0
2014,nights_foreign,802549.0
2015,nights_foreign,958939.0
2016,nights_foreign,1406264.0
2017,nights_foreign,1704454.0
2018,nights_foreign,2050010.0
2019,nights_foreign,2240873.0
2020,nights_foreign,416729.0
2021,nights_foreign,414404.0
2022,nights_foreign,1394115.0
2023,nights_foreign,1863980.0
2024,nights_foreign,2348013.0
2006,employees,4338.0
2007,employees,4739.0
2008,employees,5616.0
2009,employees,5937.0
2010,employees,6021.0
2011,employees,6198.0
2012,employees,7321.0
2013,employees,8259.0
2014,employees,9009.0
2015,employees,8364.0
2016,employees,9838.0
2017,employees,10015.0
2018,employees,11407.0
2019,employees,12481.0
2020,employees,10731.0
2021,employees,11143.0
2022,employees,12314.0
2023,employees,13608.0
2024,employees,15202.0
2006,revenue,74342.4
2007,revenue,89785.3
2008,revenue,98584.2
2009,revenue,97002.9
2010,revenue,105888.8
2011,revenue,114686.1
2012,revenue,153980.9
2013,revenue,171255.9
2014,revenue,181047.3
2015,revenue,183055.1
2016,revenue,240112.7
2017,revenue,284453.9
2018,revenue,359453.0
2019,revenue,450188.5
2020,revenue,116798.0
2021,revenue,209687.3
2022,revenue,355322.1
2023,revenue,488828.0
2024,revenue,694162.2
2006,expense,50012.0
2007,expense,80020.3
2008,expense,91707.8
2009,expense,82302.9
2010,expense,87879.9
2011,expense,88680.4
2012,expense,110684.0
2013,expense,145468.3
2014,expense,147068.1
2015,expense,171730.8
2016,expense,204852.3
2017,expense,222192.9
2018,expense,277680.5
2019,expense,308342.5
2020,expense,171805.1
2021,expense,231468.0
2022,expense,296805.6
2023,expense,390095.1
2024,expense,510413.7
2006,taxes,9445.9
2007,taxes,9787.3
2008,taxes,13965.9
2009,taxes,14548.7
2010,taxes,15130.6
2011,taxes,27966.5
2012,taxes,18058.8
2013,taxes,29951.3
2014,taxes,28201.5
2015,taxes,28098.5
2016,taxes,38525.7
2017,taxes,39040.6
2018,taxes,33323.1
2019,taxes,42252.5
2020,taxes,15018.2
2021,taxes,12819.6
2022,taxes,25145.2
2023,taxes,29281.8
