year,ownership,capacity
2006,total,24706.0
2007,total,25483.0
2008,total,28286.0
2009,total,30571.0
2010,total,30793.0
2011,total,31979.0
2012,total,32834.0
2013,total,33951.0
2014,total,35652.0
2015,total,37278.0
2016,total,40042.0
2017,total,41611.0
2018,total,46693.0
2019,total,49980.0
2020,total,50687.0
2021,total,53049.0
2022,total,56562.0
2023,total,59407.0
2024,total,67376.0
2006,state,12150.0
2007,state,10812.0
2008,state,10229.0
2009,state,9213.0
2010,state,5189.0
2011,state,4856.0
2012,state,3740.0
2013,state,3745.0
2014,state,3685.0
2015,state,4563.0
2016,state,4048.0
2017,state,4611.0
2018,state,6357.0
2019,state,3920.0
2020,state,3920.0
2021,state,4178.0
2022,state,4783.0
2023,state,4783.0
2024,state,5729.0
2006,private,10779.0
2007,private,13093.0
2008,private,16468.0
2009,private,19723.0
2010,private,23868.0
2011,private,25592.0
2012,private,26765.0
2013,private,28007.0
2014,private,29917.0
2015,private,30853.0
2016,private,34287.0
2017,private,35248.0
2018,private,38584.0
2019,private,44237.0
2020,private,44871.0
2021,private,46946.0
2022,private,49781.0
2023,private,52509.0
2024,private,58072.0
2006,foreign,1228.0
2007,foreign,961.0
2008,foreign,949.0
2009,foreign,995.0
2010,foreign,1254.0
2011,foreign,1075.0
2012,foreign,1625.0
2013,foreign,1461.0
2014,foreign,1277.0
2015,foreign,1227.0
2016,foreign,1072.0
2017,foreign,891.0
2018,foreign,891.0
2019,foreign,959.0
2020,foreign,1032.0
2021,foreign,1061.0
2022,foreign,1061.0
2023,foreign,1106.0
2024,foreign,1642.0
2006,joint,549.0
2007,joint,617.0
2008,joint,640.0
2009,joint,640.0
2010,joint,482.0
2011,joint,456.0
2012,joint,704.0
2013,joint,738.0
2014,joint,773.0
2015,joint,635.0
2016,joint,635.0
2017,joint,861.0
2018,joint,861.0
2019,joint,864.0
2020,joint,864.0
2021,joint,864.0
2022,joint,937.0
2023,joint,1009.0
2024,joint,1933.0
