year,ownership,hotel_count
2006,total,285.0
2007,total,320.0
2008,total,370.0
2009,total,452.0
2010,total,499.0
2011,total,508.0
2012,total,514.0
2013,total,530.0
2014,total,535.0
2015,total,536.0
2016,total,548.0
2017,total,563.0
2018,total,621.0
2019,total,670.0
2020,total,682.0
2021,total,712.0
2022,total,757.0
2023,total,809.0
2024,total,859.0
2006,state,65.0
2007,state,61.0
2008,state,56.0
2009,state,64.0
2010,state,37.0
2011,state,34.0
2012,state,27.0
2013,state,27.0
2014,state,27.0
2015,state,49.0
2016,state,45.0
2017,state,35.0
2018,state,38.0
2019,state,33.0
2020,state,33.0
2021,state,38.0
2022,state,52.0
2023,state,58.0
2024,state,62.0
2006,private,208.0
2007,private,243.0
2008,private,296.0
2009,private,370.0
2010,private,447.0
2011,private,460.0
2012,private,466.0
2013,private,485.0
2014,private,489.0
2015,private,470.0
2016,private,488.0
2017,private,515.0
2018,private,570.0
2019,private,620.0
2020,private,631.0
2021,private,656.0
2022,private,686.0
2023,private,730.0
2024,private,763.0
2006,foreign,8.0
2007,foreign,11.0
2008,foreign,12.0
2009,foreign,12.0
2010,foreign,12.0
2011,foreign,11.0
2012,foreign,17.0
2013,foreign,13.0
2014,foreign,13.0
2015,foreign,12.0
2016,foreign,10.0
2017,foreign,8.0
2018,foreign,8.0
2019,foreign,12.0
2020,foreign,13.0
2021,foreign,13.0
2022,foreign,13.0
2023,foreign,14.0
2024,foreign,19.0
2006,joint,4.0
2007,joint,5.0
2008,joint,6.0
2009,joint,6.0
2010,joint,3.0
2011,joint,3.0
2012,joint,4.0
2013,joint,5.0
2014,joint,6.0
2015,joint,5.0
2016,joint,5.0
2017,joint,5.0
2018,joint,5.0
2019,joint,5.0
2020,joint,5.0
2021,joint,5.0
2022,joint,6.0
2023,joint,7.0
2024,joint,15.0
