year,ownership,employees
2006,total,4338.0
2007,total,4739.0
2008,total,5616.0
2009,total,5937.0
2010,total,6021.0
2011,total,6198.0
2012,total,7321.0
2013,total,8259.0
2014,total,9009.0
2015,total,8364.0
2016,total,9838.0
2017,total,10015.0
2018,total,11407.0
2019,total,12481.0
2020,total,10731.0
2021,total,11143.0
2022,total,12314.0
2023,total,13608.0
2024,total,15202.0
2006,state,1253.0
2007,state,987.0
2008,state,966.0
2009,state,835.0
2010,state,635.0
2011,state,507.0
2012,state,240.0
2013,state,232.0
2014,state,525.0
2015,state,367.0
2016,state,888.0
2017,state,899.0
2018,state,996.0
2019,state,1012.0
2020,state,1012.0
2021,state,1044.0
2022,state,1239.0
2023,state,1239.0
2024,state,1575.0
2006,private,1978.0
2007,private,2492.0
2008,private,3322.0
2009,private,3357.0
2010,private,4340.0
2011,private,4737.0
2012,private,5982.0
2013,private,6826.0
2014,private,7366.0
2015,private,6894.0
2016,private,7911.0
2017,private,8052.0
2018,private,9193.0
2019,private,10190.0
2020,private,8568.0
2021,private,8896.0
2022,private,9822.0
2023,private,11086.0
2024,private,12274.0
2006,foreign,746.0
2007,foreign,979.0
2008,foreign,1011.0
2009,foreign,1267.0
2010,foreign,809.0
2011,foreign,716.0
2012,foreign,791.0
2013,foreign,730.0
2014,foreign,634.0
2015,foreign,609.0
2016,foreign,552.0
2017,foreign,530.0
2018,foreign,575.0
2019,foreign,593.0
2020,foreign,539.0
2021,foreign,591.0
2022,foreign,618.0
2023,foreign,625.0
2024,foreign,660.0
2006,joint,361.0
2007,joint,281.0
2008,joint,317.0
2009,joint,478.0
2010,joint,237.0
2011,joint,238.0
2012,joint,308.0
2013,joint,471.0
2014,joint,484.0
2015,joint,494.0
2016,joint,487.0
2017,joint,534.0
2018,joint,643.0
2019,joint,686.0
2020,joint,612.0
2021,joint,612.0
2022,joint,635.0
2023,joint,658.0
2024,joint,693.0
