year,indicator,value
2006,revenue_total,74342.4
2007,revenue_total,89785.3
2008,revenue_total,98584.2
2009,revenue_total,97002.9
2010,revenue_total,105888.8
2011,revenue_total,114686.1
2012,revenue_total,153980.9
2013,revenue_total,171255.9
2014,revenue_total,181047.3
2015,revenue_total,183055.1
2016,revenue_total,240112.6
2017,revenue_total,284453.9
2018,revenue_total,359453.0
2019,revenue_total,450188.5
2020,revenue_total,116798.0
2021,revenue_total,209687.3
2022,revenue_total,355322.1
2023,revenue_total,488828.0
2024,revenue_total,694162.2
2006,revenue_room,52300.7
2007,revenue_room,61988.7
2008,revenue_room,66705.0
2009,revenue_room,63667.6
2010,revenue_room,71676.0
2011,revenue_room,87817.6
2012,revenue_room,110641.5
2013,revenue_room,110808.4
2014,revenue_room,117072.1
2015,revenue_room,115921.9
2016,revenue_room,144751.3
2017,revenue_room,192962.9
2018,revenue_room,240302.1
2019,revenue_room,297193.7
2020,revenue_room,70273.9
2021,revenue_room,125166.7
2022,revenue_room,211666.8
2023,revenue_room,293523.7
2024,revenue_room,454544.6
2006,revenue_food,13426.4
2007,revenue_food,18247.4
2008,revenue_food,20632.6
2009,revenue_food,18754.9
2010,revenue_food,19505.0
2011,revenue_food,18118.4
2012,revenue_food,28872.3
2013,revenue_food,40022.8
2014,revenue_food,43019.7
2015,revenue_food,43521.3
2016,revenue_food,61289.7
2017,revenue_food,63303.0
2018,revenue_food,86310.7
2019,revenue_food,116304.3
2020,revenue_food,33928.0
2021,revenue_food,60783.6
2022,revenue_food,100885.5
2023,revenue_food,135442.2
2024,revenue_food,170058.0
2006,revenue_other,4593.0
2007,revenue_other,6627.8
2008,revenue_other,6639.6
2009,revenue_other,7615.0
2010,revenue_other,7701.5
2011,revenue_other,2419.5
2012,revenue_other,2630.8
2013,revenue_other,2001.0
2014,revenue_other,2379.5
2015,revenue_other,2509.2
2016,revenue_other,2309.4
2017,revenue_other,5386.3
2018,revenue_other,11928.3
2019,revenue_other,9680.0
2020,revenue_other,2895.4
2021,revenue_other,5174.5
2022,revenue_other,10602.7
2023,revenue_other,16829.1
2024,revenue_other,17588.9
2006,expense_total,50012.0
2007,expense_total,80020.3
2008,expense_total,91707.8
2009,expense_total,82302.9
2010,expense_total,87879.9
2011,expense_total,88680.4
2012,expense_total,110684.0
2013,expense_total,145468.3
2014,expense_total,147068.1
2015,expense_total,171730.8
2016,expense_total,204852.3
2017,expense_total,222192.9
2018,expense_total,277680.5
2019,expense_total,308342.5
2020,expense_total,171805.1
2021,expense_total,231468.0
2022,expense_total,296805.6
2023,expense_total,390095.1
2024,expense_total,510413.7
2006,expense_material,6699.2
2007,expense_material,7393.2
2008,expense_material,8011.7
2009,expense_material,9903.2
2010,expense_material,10320.1
2011,expense_material,14529.4
2012,expense_material,18090.1
2013,expense_material,24187.0
2014,expense_material,23576.5
2015,expense_material,27149.0
2016,expense_material,35623.5
2017,expense_material,35977.2
2018,expense_material,44803.5
2019,expense_material,49446.1
2020,expense_material,19456.2
2021,expense_material,32214.6
2022,expense_material,50598.4
2023,expense_material,65135.1
2024,expense_material,78142.7
2006,expense_labour,1675.2
2007,expense_labour,2145.7
2008,expense_labour,2406.0
2009,expense_labour,2789.8
2010,expense_labour,2504.2
2011,expense_labour,5484.5
2012,expense_labour,5902.2
2013,expense_labour,7697.3
2014,expense_labour,8781.0
2015,expense_labour,11584.0
2016,expense_labour,19030.8
2017,expense_labour,16849.9
2018,expense_labour,19575.2
2019,expense_labour,19897.1
2020,expense_labour,11622.5
2021,expense_labour,15702.9
2022,expense_labour,20921.5
2023,expense_labour,26312.5
2024,expense_labour,28698.1
2006,expense_depreciation,379.3
2007,expense_depreciation,436.4
2008,expense_depreciation,453.7
2009,expense_depreciation,484.7
2010,expense_depreciation,517.2
2011,expense_depreciation,539.6
2012,expense_depreciation,1028.7
2013,expense_depreciation,1299.4
2014,expense_depreciation,1489.3
2015,expense_depreciation,1253.6
2016,expense_depreciation,1779.4
2017,expense_depreciation,2352.4
2018,expense_depreciation,2697.6
2019,expense_depreciation,3122.3
2020,expense_depreciation,1463.5
2021,expense_depreciation,1896.0
2022,expense_depreciation,2533.5
2023,expense_depreciation,3053.5
2024,expense_depreciation,3658.5
2006,expense_other,508.3
2007,expense_other,562.3
2008,expense_other,607.9
2009,expense_other,627.9
2010,expense_other,655.1
2011,expense_other,728.9
2012,expense_other,1792.4
2013,expense_other,2321.6
2014,expense_other,2408.5
2015,expense_other,2410.8
2016,expense_other,1731.7
2017,expense_other,2362.3
2018,expense_other,4250.3
2019,expense_other,5714.2
2020,expense_other,3797.8
2021,expense_other,3391.5
2022,expense_other,8404.6
2023,expense_other,12552.6
2024,expense_other,11404.7
