year,ownership,type,value
2006,state,revenue,74342.4
2007,state,revenue,89785.3
2008,state,revenue,98584.2
2009,state,revenue,97002.9
2010,state,revenue,105888.8
2011,state,revenue,114686.1
2012,state,revenue,153980.9
2013,state,revenue,171255.9
2014,state,revenue,181047.3
2015,state,revenue,183055.1
2016,state,revenue,240112.6
2017,state,revenue,284453.9
2018,state,revenue,359453.0
2019,state,revenue,450188.5
2020,state,revenue,116798.0
2021,state,revenue,209687.3
2022,state,revenue,355322.1
2023,state,revenue,488828.0
2024,state,revenue,694162.2
2006,foreign,revenue,52300.7
2007,foreign,revenue,61988.7
2008,foreign,revenue,66705.0
2009,foreign,revenue,63667.6
2010,foreign,revenue,71676.0
2011,foreign,revenue,87817.6
2012,foreign,revenue,110641.5
2013,foreign,revenue,110808.4
2014,foreign,revenue,117072.1
2015,foreign,revenue,115921.9
2016,foreign,revenue,144751.3
2017,foreign,revenue,192962.9
2018,foreign,revenue,240302.1
2019,foreign,revenue,297193.7
2020,foreign,revenue,70273.9
2021,foreign,revenue,125166.7
2022,foreign,revenue,211666.8
2023,foreign,revenue,293523.7
2024,foreign,revenue,454544.6
2006,joint,revenue,13426.4
2007,joint,revenue,18247.4
2008,joint,revenue,20632.6
2009,joint,revenue,18754.9
2010,joint,revenue,19505.0
2011,joint,revenue,18118.4
2012,joint,revenue,28872.3
2013,joint,revenue,40022.8
2014,joint,revenue,43019.7
2015,joint,revenue,43521.3
2016,joint,revenue,61289.7
2017,joint,revenue,63303.0
2018,joint,revenue,86310.7
2019,joint,revenue,116304.3
2020,joint,revenue,33928.0
2021,joint,revenue,60783.6
2022,joint,revenue,100885.5
2023,joint,revenue,135442.2
2024,joint,revenue,170058.0
2006,total,expense,4022.3
2007,total,expense,2921.4
2008,total,expense,4607.0
2009,total,expense,6965.4
2010,total,expense,7006.3
2011,total,expense,6330.6
2012,total,expense,11836.3
2013,total,expense,18423.7
2014,total,expense,18576.0
2015,total,expense,21102.7
2016,total,expense,31762.2
2017,total,expense,22801.7
2018,total,expense,20911.9
2019,total,expense,27010.5
2020,total,expense,9700.7
2021,total,expense,18562.5
2022,total,expense,32167.1
2023,total,expense,43033.0
2024,total,expense,51970.7
2006,private,expense,3246.8
2007,private,expense,3989.7
2008,private,expense,3410.0
2009,private,expense,8165.9
2010,private,expense,7739.5
2011,private,expense,2990.4
2012,private,expense,1885.8
2013,private,expense,2166.3
2014,private,expense,2219.5
2015,private,expense,4021.0
2016,private,expense,23203.8
2017,private,expense,11699.0
2018,private,expense,12151.8
2019,private,expense,12311.6
2020,private,expense,5572.5
2021,private,expense,7539.2
2022,private,expense,21621.2
2023,private,expense,36819.7
2024,private,expense,48703.0
2006,joint,expense,1088.7
2007,joint,expense,2043.4
2008,joint,expense,1704.6
2009,joint,expense,6329.0
2010,joint,expense,7210.0
2011,joint,expense,2418.8
2012,joint,expense,1098.0
2013,joint,expense,2045.5
2014,joint,expense,2113.3
2015,joint,expense,3535.0
2016,joint,expense,4403.6
2017,joint,expense,5661.7
2018,joint,expense,6124.7
2019,joint,expense,7733.0
2020,joint,expense,2156.0
2021,joint,expense,4626.4
2022,joint,expense,10779.8
2023,joint,expense,17740.3
2024,joint,expense,20601.1
