year,ownership,guests
2006,total,1115013.0
2007,total,1131442.0
2008,total,1360252.0
2009,total,1315135.0
2010,total,1358286.0
2011,total,1504312.0
2012,total,1640863.0
2013,total,1674065.0
2014,total,1687457.0
2015,total,1644056.0
2016,total,2125266.0
2017,total,2590641.0
2018,total,3002959.0
2019,total,3345285.0
2020,total,999786.0
2021,total,1788716.0
2022,total,2647178.0
2023,total,3422324.0
2024,total,4282800.0
2006,state,268469.0
2007,state,247670.0
2008,state,248268.0
2009,state,207899.0
2010,state,246281.0
2011,state,130657.0
2012,state,67793.0
2013,state,72366.0
2014,state,61177.0
2015,state,108672.0
2016,state,112523.0
2017,state,146285.0
2018,state,165175.0
2019,state,145588.0
2020,state,38914.0
2021,state,93152.0
2022,state,162226.0
2023,state,261886.0
2024,state,292172.0
2006,private,470123.0
2007,private,600339.0
2008,private,733582.0
2009,private,713082.0
2010,private,906785.0
2011,private,1148717.0
2012,private,1237678.0
2013,private,1246669.0
2014,private,1392938.0
2015,private,1321601.0
2016,private,1817012.0
2017,private,2236420.0
2018,private,2659359.0
2019,private,2982631.0
2020,private,814547.0
2021,private,1407398.0
2022,private,2225203.0
2023,private,2875638.0
2024,private,3660100.0
2006,foreign,281346.0
2007,foreign,191037.0
2008,foreign,251209.0
2009,foreign,272031.0
2010,foreign,133139.0
2011,foreign,160943.0
2012,foreign,165613.0
2013,foreign,204687.0
2014,foreign,88828.0
2015,foreign,108701.0
2016,foreign,86400.0
2017,foreign,72118.0
2018,foreign,82122.0
2019,foreign,106513.0
2020,foreign,69004.0
2021,foreign,206179.0
2022,foreign,180718.0
2023,foreign,181159.0
2024,foreign,197877.0
2006,joint,95075.0
2007,joint,92396.0
2008,joint,127193.0
2009,joint,122123.0
2010,joint,72081.0
2011,joint,63995.0
2012,joint,169779.0
2013,joint,150343.0
2014,joint,144514.0
2015,joint,105082.0
2016,joint,109331.0
2017,joint,135818.0
2018,joint,96303.0
2019,joint,110553.0
2020,joint,77321.0
2021,joint,81987.0
2022,joint,79031.0
2023,joint,103641.0
2024,joint,132651.0
