rayon_az,economic_region_az,economic_region_en
Binəqədi rayonu,Bakı,Baku
Xətai rayonu,Bakı,Baku
Xəzər rayonu,Bakı,Baku
Qaradağ rayonu,Bakı,Baku
Nərimanov rayonu,Bakı,Baku
Nəsimi rayonu,Bakı,Baku
Nizami rayonu,Bakı,Baku
Pirallahı rayonu,Bakı,Baku
Sabunçu rayonu,Bakı,Baku
Səbail rayonu,Bakı,Baku
Suraxanı rayonu,Bakı,Baku
Yasamal rayonu,Bakı,Baku
Babək rayonu,Naxçıvan,Nakhchivan
Culfa rayonu,Naxçıvan,Nakhchivan
Kəngərli rayonu,Naxçıvan,Nakhchivan
Ordubad rayonu,Naxçıvan,Nakhchivan
Sədərək rayonu,Naxçıvan,Nakhchivan
Şahbuz rayonu,Naxçıvan,Nakhchivan
Şərur rayonu,Naxçıvan,Nakhchivan
Sumqayıt şəhəri,Abşeron,Absheron
Abşeron rayonu,Abşeron,Absheron
Xızı rayonu,Abşeron,Absheron
Ağsu rayonu,Dağlıq Şirvan,Mountainous Shirvan
İsmayıllı rayonu,Dağlıq Şirvan,Mountainous Shirvan
Qobustan rayonu,Dağlıq Şirvan,Mountainous Shirvan
Şamaxı rayonu,Dağlıq Şirvan,Mountainous Shirvan
Gəncə şəhəri,Gəncə-Daşkəsən,Ganja-Dashkasan
Naftalan şəhəri,Gəncə-Daşkəsən,Ganja-Dashkasan
Daşkəsən rayonu,Gəncə-Daşkəsən,Ganja-Dashkasan
Gədəbəy rayonu,Gəncə-Daşkəsən,Ganja-Dashkasan
Goranboy rayonu,Gəncə-Daşkəsən,Ganja-Dashkasan
Samux rayonu,Gəncə-Daşkəsən,Ganja-Dashkasan
Xankəndi şəhəri,Qarabağ,Karabakh
Ağdam rayonu,Qarabağ,Karabakh
Tərtər rayonu,Qarabağ,Karabakh
Xocalı rayonu,Qarabağ,Karabakh
Xocavənd rayonu,Qarabağ,Karabakh
Şuşa rayonu,Qarabağ,Karabakh
Bərdə rayonu,Qarabağ,Karabakh
Ağcabədi rayonu,Qarabağ,Karabakh
Ağstafa rayonu,Qazax-Tovuz,Gazakh-Tovuz
Gəy göl rayonu,Qazax-Tovuz,Gazakh-Tovuz
Qazax rayonu,Qazax-Tovuz,Gazakh-Tovuz
Tovuz rayonu,Qazax-Tovuz,Gazakh-Tovuz
Şəmkir rayonu,Qazax-Tovuz,Gazakh-Tovuz
Quba rayonu,Quba-Xaçmaz,Guba-Khachmaz
Qusar rayonu,Quba-Xaçmaz,Guba-Khachmaz
Xaçmaz rayonu,Quba-Xaçmaz,Guba-Khachmaz
Siyəzən rayonu,Quba-Xaçmaz,Guba-Khachmaz
Şabran rayonu,Quba-Xaçmaz,Guba-Khachmaz
Lənkəran şəhəri,Lənkəran-Astara,Lankaran-Astara
Astara rayonu,Lənkəran-Astara,Lankaran-Astara
Cəlilabad rayonu,Lənkəran-Astara,Lankaran-Astara
Lerik rayonu,Lənkəran-Astara,Lankaran-Astara
Masallı rayonu,Lənkəran-Astara,Lankaran-Astara
Yardımlı rayonu,Lənkəran-Astara,Lankaran-Astara
Mingəçevir şəhəri,Mərkəzi Aran,Central Aran
Yevlax şəhəri,Mərkəzi Aran,Central Aran
Ağdaş rayonu,Mərkəzi Aran,Central Aran
Göyçay rayonu,Mərkəzi Aran,Central Aran
Kürdəmir rayonu,Mərkəzi Aran,Central Aran
Ucar rayonu,Mərkəzi Aran,Central Aran
Yevlax rayonu,Mərkəzi Aran,Central Aran
Zərdab rayonu,Mərkəzi Aran,Central Aran
Beyləqan rayonu,Mil-Muğan,Mil-Mughan
İmişli rayonu,Mil-Muğan,Mil-Mughan
Saatlı rayonu,Mil-Muğan,Mil-Mughan
Sabirabad rayonu,Mil-Muğan,Mil-Mughan
Şəki şəhəri,Şəki-Zaqatala,Sheki-Zagatala
Balakən rayonu,Şəki-Zaqatala,Sheki-Zagatala
Oğuz rayonu,Şəki-Zaqatala,Sheki-Zagatala
Qax rayonu,Şəki-Zaqatala,Sheki-Zagatala
Zaqatala rayonu,Şəki-Zaqatala,Sheki-Zagatala
Cəbrayıl rayonu,Şərqi Zəngəzur,East Zangazur
Kəlbəcər rayonu,Şərqi Zəngəzur,East Zangazur
Qubadlı rayonu,Şərqi Zəngəzur,East Zangazur
Laçın rayonu,Şərqi Zəngəzur,East Zangazur
Zəngilan rayonu,Şərqi Zəngəzur,East Zangazur
