rayon,year,value
Bakı şəhəri,2006,6927.0
Bakı şəhəri,2007,7792.0
Bakı şəhəri,2008,8285.0
Bakı şəhəri,2009,7768.0
Bakı şəhəri,2010,10040.0
Bakı şəhəri,2011,10291.0
Bakı şəhəri,2012,10217.0
Bakı şəhəri,2013,10521.0
Bakı şəhəri,2014,11792.0
Bakı şəhəri,2015,12779.0
Bakı şəhəri,2016,14020.0
Bakı şəhəri,2017,14861.0
Bakı şəhəri,2018,18637.0
Bakı şəhəri,2019,20740.0
Bakı şəhəri,2020,21151.0
Bakı şəhəri,2021,21885.0
Bakı şəhəri,2022,24244.0
Bakı şəhəri,2023,25980.0
Bakı şəhəri,2024,28998.0
Binəqədi rayonu,2006,668.0
Binəqədi rayonu,2007,834.0
Binəqədi rayonu,2008,675.0
Binəqədi rayonu,2009,767.0
Binəqədi rayonu,2010,747.0
Binəqədi rayonu,2011,691.0
Binəqədi rayonu,2012,857.0
Binəqədi rayonu,2013,822.0
Binəqədi rayonu,2014,1031.0
Binəqədi rayonu,2015,1060.0
Binəqədi rayonu,2016,1108.0
Binəqədi rayonu,2017,1108.0
Binəqədi rayonu,2018,554.0
Binəqədi rayonu,2019,887.0
Binəqədi rayonu,2020,887.0
Binəqədi rayonu,2021,979.0
Binəqədi rayonu,2022,1271.0
Binəqədi rayonu,2023,1655.0
Binəqədi rayonu,2024,1655.0
Xətai rayonu,2006,109.0
Xətai rayonu,2007,98.0
Xətai rayonu,2008,98.0
Xətai rayonu,2009,246.0
Xətai rayonu,2010,461.0
Xətai rayonu,2011,459.0
Xətai rayonu,2012,670.0
Xətai rayonu,2013,698.0
Xətai rayonu,2014,742.0
Xətai rayonu,2015,710.0
Xətai rayonu,2016,786.0
Xətai rayonu,2017,738.0
Xətai rayonu,2018,896.0
Xətai rayonu,2019,941.0
Xətai rayonu,2020,1047.0
Xətai rayonu,2021,1097.0
Xətai rayonu,2022,1127.0
Xətai rayonu,2023,1157.0
Xətai rayonu,2024,1421.0
Xəzər rayonu,2006,1247.0
Xəzər rayonu,2007,1722.0
Xəzər rayonu,2008,1565.0
Xəzər rayonu,2009,1567.0
Xəzər rayonu,2010,1567.0
Xəzər rayonu,2011,1538.0
Xəzər rayonu,2012,609.0
Xəzər rayonu,2013,609.0
Xəzər rayonu,2014,622.0
Xəzər rayonu,2015,610.0
Xəzər rayonu,2016,610.0
Xəzər rayonu,2017,610.0
Xəzər rayonu,2018,568.0
Xəzər rayonu,2019,802.0
Xəzər rayonu,2020,802.0
Xəzər rayonu,2021,930.0
Xəzər rayonu,2022,970.0
Xəzər rayonu,2023,993.0
Xəzər rayonu,2024,1053.0
Qaradağ rayonu,2012,215.0
Qaradağ rayonu,2013,215.0
Qaradağ rayonu,2014,215.0
Qaradağ rayonu,2015,215.0
Qaradağ rayonu,2016,435.0
Qaradağ rayonu,2017,435.0
Qaradağ rayonu,2018,247.0
Qaradağ rayonu,2019,90.0
Qaradağ rayonu,2020,90.0
Qaradağ rayonu,2021,129.0
Qaradağ rayonu,2022,201.0
Qaradağ rayonu,2023,201.0
Qaradağ rayonu,2024,201.0
Nərimanov rayonu,2006,834.0
Nərimanov rayonu,2007,928.0
Nərimanov rayonu,2008,1217.0
Nərimanov rayonu,2009,1247.0
Nərimanov rayonu,2010,1430.0
Nərimanov rayonu,2011,1435.0
Nərimanov rayonu,2012,1627.0
Nərimanov rayonu,2013,1201.0
Nərimanov rayonu,2014,1430.0
Nərimanov rayonu,2015,1398.0
Nərimanov rayonu,2016,1001.0
Nərimanov rayonu,2017,1025.0
Nərimanov rayonu,2018,1820.0
Nərimanov rayonu,2019,3148.0
Nərimanov rayonu,2020,3342.0
Nərimanov rayonu,2021,3550.0
Nərimanov rayonu,2022,3723.0
Nərimanov rayonu,2023,3906.0
Nərimanov rayonu,2024,4037.0
Nəsimi rayonu,2006,790.0
Nəsimi rayonu,2007,1485.0
Nəsimi rayonu,2008,1627.0
Nəsimi rayonu,2009,1786.0
Nəsimi rayonu,2010,1890.0
Nəsimi rayonu,2011,2067.0
Nəsimi rayonu,2012,2164.0
Nəsimi rayonu,2013,2198.0
Nəsimi rayonu,2014,2961.0
Nəsimi rayonu,2015,3129.0
Nəsimi rayonu,2016,3993.0
Nəsimi rayonu,2017,4094.0
Nəsimi rayonu,2018,4856.0
Nəsimi rayonu,2019,5192.0
Nəsimi rayonu,2020,5205.0
Nəsimi rayonu,2021,5285.0
Nəsimi rayonu,2022,5857.0
Nəsimi rayonu,2023,6229.0
Nəsimi rayonu,2024,7459.0
Nizami rayonu,2006,214.0
Nizami rayonu,2007,356.0
Nizami rayonu,2008,239.0
Nizami rayonu,2009,181.0
Nizami rayonu,2010,160.0
Nizami rayonu,2011,124.0
Nizami rayonu,2012,292.0
Nizami rayonu,2013,277.0
Nizami rayonu,2014,411.0
Nizami rayonu,2015,517.0
Nizami rayonu,2016,517.0
Nizami rayonu,2017,517.0
Nizami rayonu,2018,562.0
Nizami rayonu,2019,758.0
Nizami rayonu,2020,774.0
Nizami rayonu,2021,814.0
Nizami rayonu,2022,814.0
Nizami rayonu,2023,814.0
Nizami rayonu,2024,853.0
Sabunçu rayonu,2007,16.0
Sabunçu rayonu,2008,16.0
Sabunçu rayonu,2009,93.0
Sabunçu rayonu,2010,563.0
Sabunçu rayonu,2011,100.0
Sabunçu rayonu,2012,391.0
Sabunçu rayonu,2013,373.0
Sabunçu rayonu,2014,467.0
Sabunçu rayonu,2015,700.0
Sabunçu rayonu,2016,374.0
Sabunçu rayonu,2017,538.0
Sabunçu rayonu,2018,972.0
Sabunçu rayonu,2019,520.0
Sabunçu rayonu,2020,563.0
Sabunçu rayonu,2021,563.0
Sabunçu rayonu,2022,563.0
Sabunçu rayonu,2023,876.0
Sabunçu rayonu,2024,885.0
Səbail rayonu,2006,2166.0
Səbail rayonu,2007,1758.0
Səbail rayonu,2008,2166.0
Səbail rayonu,2009,1144.0
Səbail rayonu,2010,2320.0
Səbail rayonu,2011,2952.0
Səbail rayonu,2012,2436.0
Səbail rayonu,2013,2880.0
Səbail rayonu,2014,2843.0
Səbail rayonu,2015,3312.0
Səbail rayonu,2016,3911.0
Səbail rayonu,2017,4511.0
Səbail rayonu,2018,5611.0
Səbail rayonu,2019,6292.0
Səbail rayonu,2020,6298.0
Səbail rayonu,2021,6317.0
Səbail rayonu,2022,6425.0
Səbail rayonu,2023,6591.0
Səbail rayonu,2024,7541.0
Suraxanı rayonu,2007,37.0
Suraxanı rayonu,2008,37.0
Suraxanı rayonu,2009,40.0
Suraxanı rayonu,2010,40.0
Suraxanı rayonu,2020,33.0
Suraxanı rayonu,2021,33.0
Suraxanı rayonu,2022,48.0
Suraxanı rayonu,2023,48.0
Suraxanı rayonu,2024,78.0
Yasamal rayonu,2006,899.0
Yasamal rayonu,2007,558.0
Yasamal rayonu,2008,645.0
Yasamal rayonu,2009,697.0
Yasamal rayonu,2010,862.0
Yasamal rayonu,2011,925.0
Yasamal rayonu,2012,956.0
Yasamal rayonu,2013,1248.0
Yasamal rayonu,2014,1070.0
Yasamal rayonu,2015,1128.0
Yasamal rayonu,2016,1285.0
Yasamal rayonu,2017,1285.0
Yasamal rayonu,2018,2551.0
Yasamal rayonu,2019,2110.0
Yasamal rayonu,2020,2110.0
Yasamal rayonu,2021,2188.0
Yasamal rayonu,2022,3245.0
Yasamal rayonu,2023,3510.0
Yasamal rayonu,2024,3815.0
Abşeron iqtisadi rayonu,2006,1040.0
Abşeron iqtisadi rayonu,2007,1136.0
Abşeron iqtisadi rayonu,2008,1316.0
Abşeron iqtisadi rayonu,2009,1485.0
Abşeron iqtisadi rayonu,2010,1305.0
Abşeron iqtisadi rayonu,2011,1648.0
Abşeron iqtisadi rayonu,2012,1626.0
Abşeron iqtisadi rayonu,2013,1345.0
Abşeron iqtisadi rayonu,2014,1397.0
Abşeron iqtisadi rayonu,2015,1351.0
Abşeron iqtisadi rayonu,2016,821.0
Abşeron iqtisadi rayonu,2017,876.0
Abşeron iqtisadi rayonu,2018,1052.0
Abşeron iqtisadi rayonu,2019,1087.0
Abşeron iqtisadi rayonu,2020,1087.0
Abşeron iqtisadi rayonu,2021,1087.0
Abşeron iqtisadi rayonu,2022,1107.0
Abşeron iqtisadi rayonu,2023,1122.0
Abşeron iqtisadi rayonu,2024,1249.0
Sumqayıt şəhəri,2006,584.0
Sumqayıt şəhəri,2007,676.0
Sumqayıt şəhəri,2008,856.0
Sumqayıt şəhəri,2009,839.0
Sumqayıt şəhəri,2010,856.0
Sumqayıt şəhəri,2011,1235.0
Sumqayıt şəhəri,2012,1213.0
Sumqayıt şəhəri,2013,896.0
Sumqayıt şəhəri,2014,904.0
Sumqayıt şəhəri,2015,858.0
Sumqayıt şəhəri,2016,390.0
Sumqayıt şəhəri,2017,410.0
Sumqayıt şəhəri,2018,452.0
Sumqayıt şəhəri,2019,487.0
Sumqayıt şəhəri,2020,487.0
Sumqayıt şəhəri,2021,487.0
Sumqayıt şəhəri,2022,507.0
Sumqayıt şəhəri,2023,507.0
Sumqayıt şəhəri,2024,553.0
Abşeron rayonu,2006,130.0
Abşeron rayonu,2007,134.0
Abşeron rayonu,2008,134.0
Abşeron rayonu,2009,266.0
Abşeron rayonu,2010,265.0
Abşeron rayonu,2011,265.0
Abşeron rayonu,2012,265.0
Abşeron rayonu,2013,301.0
Abşeron rayonu,2014,345.0
Abşeron rayonu,2015,345.0
Abşeron rayonu,2016,283.0
Abşeron rayonu,2017,318.0
Abşeron rayonu,2018,452.0
Abşeron rayonu,2019,452.0
Abşeron rayonu,2020,452.0
Abşeron rayonu,2021,452.0
Abşeron rayonu,2022,452.0
Abşeron rayonu,2023,467.0
Abşeron rayonu,2024,527.0
Xızı rayonu,2006,326.0
Xızı rayonu,2007,326.0
Xızı rayonu,2008,326.0
Xızı rayonu,2009,380.0
Xızı rayonu,2010,184.0
Xızı rayonu,2011,148.0
Xızı rayonu,2012,148.0
Xızı rayonu,2013,148.0
Xızı rayonu,2014,148.0
Xızı rayonu,2015,148.0
Xızı rayonu,2016,148.0
Xızı rayonu,2017,148.0
Xızı rayonu,2018,148.0
Xızı rayonu,2019,148.0
Xızı rayonu,2020,148.0
Xızı rayonu,2021,148.0
Xızı rayonu,2022,148.0
Xızı rayonu,2023,148.0
Xızı rayonu,2024,169.0
Dağlıq Şirvan iqtisadi rayonu,2006,806.0
Dağlıq Şirvan iqtisadi rayonu,2007,743.0
Dağlıq Şirvan iqtisadi rayonu,2008,803.0
Dağlıq Şirvan iqtisadi rayonu,2009,1277.0
Dağlıq Şirvan iqtisadi rayonu,2010,1255.0
Dağlıq Şirvan iqtisadi rayonu,2011,1307.0
Dağlıq Şirvan iqtisadi rayonu,2012,1339.0
Dağlıq Şirvan iqtisadi rayonu,2013,1321.0
Dağlıq Şirvan iqtisadi rayonu,2014,1522.0
Dağlıq Şirvan iqtisadi rayonu,2015,1571.0
