rayon,year,value
Bakı şəhəri,2006,2677.0
Bakı şəhəri,2007,3054.0
Bakı şəhəri,2008,3330.0
Bakı şəhəri,2009,3528.0
Bakı şəhəri,2010,3194.0
Bakı şəhəri,2011,3121.0
Bakı şəhəri,2012,4241.0
Bakı şəhəri,2013,5317.0
Bakı şəhəri,2014,5360.0
Bakı şəhəri,2015,5239.0
Bakı şəhəri,2016,5324.0
Bakı şəhəri,2017,5080.0
Bakı şəhəri,2018,5232.0
Bakı şəhəri,2019,5696.0
Bakı şəhəri,2020,5665.0
Bakı şəhəri,2021,5281.0
Bakı şəhəri,2022,5600.0
Bakı şəhəri,2023,5994.0
Bakı şəhəri,2024,6588.0
Binəqədi rayonu,2006,97.0
Binəqədi rayonu,2007,148.0
Binəqədi rayonu,2008,150.0
Binəqədi rayonu,2009,130.0
Binəqədi rayonu,2010,197.0
Binəqədi rayonu,2011,175.0
Binəqədi rayonu,2012,73.0
Binəqədi rayonu,2013,111.0
Binəqədi rayonu,2014,79.0
Binəqədi rayonu,2015,92.0
Binəqədi rayonu,2016,83.0
Binəqədi rayonu,2017,44.0
Binəqədi rayonu,2018,85.0
Binəqədi rayonu,2019,139.0
Binəqədi rayonu,2020,131.0
Binəqədi rayonu,2021,92.0
Binəqədi rayonu,2022,67.0
Binəqədi rayonu,2023,67.0
Binəqədi rayonu,2024,69.0
Xətai rayonu,2006,20.0
Xətai rayonu,2007,21.0
Xətai rayonu,2008,21.0
Xətai rayonu,2009,39.0
Xətai rayonu,2010,60.0
Xətai rayonu,2011,96.0
Xətai rayonu,2012,163.0
Xətai rayonu,2013,176.0
Xətai rayonu,2014,179.0
Xətai rayonu,2015,196.0
Xətai rayonu,2016,100.0
Xətai rayonu,2017,155.0
Xətai rayonu,2018,161.0
Xətai rayonu,2019,193.0
Xətai rayonu,2020,188.0
Xətai rayonu,2021,108.0
Xətai rayonu,2022,112.0
Xətai rayonu,2023,177.0
Xətai rayonu,2024,219.0
Xəzər rayonu,2006,486.0
Xəzər rayonu,2007,631.0
Xəzər rayonu,2008,634.0
Xəzər rayonu,2009,627.0
Xəzər rayonu,2010,443.0
Xəzər rayonu,2011,523.0
Xəzər rayonu,2012,245.0
Xəzər rayonu,2013,242.0
Xəzər rayonu,2014,228.0
Xəzər rayonu,2015,209.0
Xəzər rayonu,2016,245.0
Xəzər rayonu,2017,235.0
Xəzər rayonu,2018,272.0
Xəzər rayonu,2019,317.0
Xəzər rayonu,2020,313.0
Xəzər rayonu,2021,510.0
Xəzər rayonu,2022,352.0
Xəzər rayonu,2023,387.0
Xəzər rayonu,2024,391.0
Qaradağ rayonu,2012,16.0
Qaradağ rayonu,2013,16.0
Qaradağ rayonu,2014,16.0
Qaradağ rayonu,2015,6.0
Qaradağ rayonu,2016,15.0
Qaradağ rayonu,2017,17.0
Qaradağ rayonu,2018,17.0
Qaradağ rayonu,2019,21.0
Qaradağ rayonu,2020,18.0
Qaradağ rayonu,2021,23.0
Qaradağ rayonu,2022,19.0
Qaradağ rayonu,2023,20.0
Qaradağ rayonu,2024,20.0
Nərimanov rayonu,2006,205.0
Nərimanov rayonu,2007,169.0
Nərimanov rayonu,2008,214.0
Nərimanov rayonu,2009,287.0
Nərimanov rayonu,2010,311.0
Nərimanov rayonu,2011,279.0
Nərimanov rayonu,2012,341.0
Nərimanov rayonu,2013,351.0
Nərimanov rayonu,2014,460.0
Nərimanov rayonu,2015,391.0
Nərimanov rayonu,2016,369.0
Nərimanov rayonu,2017,395.0
Nərimanov rayonu,2018,459.0
Nərimanov rayonu,2019,643.0
Nərimanov rayonu,2020,638.0
Nərimanov rayonu,2021,1057.0
Nərimanov rayonu,2022,1243.0
Nərimanov rayonu,2023,1116.0
Nərimanov rayonu,2024,1191.0
Nəsimi rayonu,2006,476.0
Nəsimi rayonu,2007,525.0
Nəsimi rayonu,2008,565.0
Nəsimi rayonu,2009,605.0
Nəsimi rayonu,2010,497.0
Nəsimi rayonu,2011,589.0
Nəsimi rayonu,2012,1302.0
Nəsimi rayonu,2013,1264.0
Nəsimi rayonu,2014,1407.0
Nəsimi rayonu,2015,1475.0
Nəsimi rayonu,2016,1750.0
Nəsimi rayonu,2017,1433.0
Nəsimi rayonu,2018,1084.0
Nəsimi rayonu,2019,1121.0
Nəsimi rayonu,2020,1109.0
Nəsimi rayonu,2021,1223.0
Nəsimi rayonu,2022,1455.0
Nəsimi rayonu,2023,1732.0
Nəsimi rayonu,2024,1921.0
Nizami rayonu,2006,53.0
Nizami rayonu,2007,48.0
Nizami rayonu,2008,52.0
Nizami rayonu,2009,51.0
Nizami rayonu,2010,35.0
Nizami rayonu,2011,66.0
Nizami rayonu,2012,76.0
Nizami rayonu,2013,178.0
Nizami rayonu,2014,204.0
Nizami rayonu,2015,107.0
Nizami rayonu,2016,87.0
Nizami rayonu,2017,105.0
Nizami rayonu,2018,97.0
