rayon,year,value
Bakı şəhəri,2006,43994.7
Bakı şəhəri,2007,72184.5
Bakı şəhəri,2008,80142.1
Bakı şəhəri,2009,69784.4
Bakı şəhəri,2010,64326.0
Bakı şəhəri,2011,68101.3
Bakı şəhəri,2012,76682.8
Bakı şəhəri,2013,116454.09999999999
Bakı şəhəri,2014,114582.40000000001
Bakı şəhəri,2015,126764.5
Bakı şəhəri,2016,140518.2
Bakı şəhəri,2017,157617.7
Bakı şəhəri,2018,173127.5
Bakı şəhəri,2019,194135.6
Bakı şəhəri,2020,98785.40000000001
Bakı şəhəri,2021,129244.2
Bakı şəhəri,2022,170667.19999999998
Bakı şəhəri,2023,222740.8
Bakı şəhəri,2024,298653.4
Binəqədi rayonu,2006,904.8
Binəqədi rayonu,2007,1021.4
Binəqədi rayonu,2008,1075.1
Binəqədi rayonu,2009,1100.4
Binəqədi rayonu,2010,2041.7
Binəqədi rayonu,2011,876.8
Binəqədi rayonu,2012,310.8
Binəqədi rayonu,2013,2621.4
Binəqədi rayonu,2014,352.4
Binəqədi rayonu,2015,469.1
Binəqədi rayonu,2016,343.4
Binəqədi rayonu,2017,173.9
Binəqədi rayonu,2018,460.9
Binəqədi rayonu,2019,1011.8
Binəqədi rayonu,2020,794.3
Binəqədi rayonu,2021,575.9
Binəqədi rayonu,2022,393.6
Binəqədi rayonu,2023,389.6
Binəqədi rayonu,2024,434.4
Xətai rayonu,2006,27.2
Xətai rayonu,2007,39.0
Xətai rayonu,2008,68.9
Xətai rayonu,2009,325.0
Xətai rayonu,2010,475.0
Xətai rayonu,2011,675.8
Xətai rayonu,2012,1033.3
Xətai rayonu,2013,1082.4
Xətai rayonu,2014,1172.5
Xətai rayonu,2015,1481.9
Xətai rayonu,2016,1334.9
Xətai rayonu,2017,1585.5
Xətai rayonu,2018,1589.3
Xətai rayonu,2019,2177.6
Xətai rayonu,2020,906.2
Xətai rayonu,2021,982.1
Xətai rayonu,2022,1494.0
Xətai rayonu,2023,2600.4
Xətai rayonu,2024,4599.4
Xəzər rayonu,2006,1610.6
Xəzər rayonu,2007,2852.8
Xəzər rayonu,2008,4786.7
Xəzər rayonu,2009,5491.2
Xəzər rayonu,2010,6983.8
Xəzər rayonu,2011,9200.0
Xəzər rayonu,2012,4270.7
Xəzər rayonu,2013,5897.2
Xəzər rayonu,2014,4674.3
Xəzər rayonu,2015,2597.6
Xəzər rayonu,2016,3281.4
Xəzər rayonu,2017,4551.5
Xəzər rayonu,2018,5201.1
Xəzər rayonu,2019,5573.5
Xəzər rayonu,2020,4243.3
Xəzər rayonu,2021,4315.7
Xəzər rayonu,2022,6318.3
Xəzər rayonu,2023,6784.4
Xəzər rayonu,2024,7133.5
Qaradağ rayonu,2016,86.5
Qaradağ rayonu,2017,148.7
Qaradağ rayonu,2018,95.6
Qaradağ rayonu,2019,73.7
Qaradağ rayonu,2020,68.6
Qaradağ rayonu,2021,107.4
Qaradağ rayonu,2022,155.3
Qaradağ rayonu,2023,168.1
Qaradağ rayonu,2024,187.0
Nərimanov rayonu,2006,2705.6
Nərimanov rayonu,2007,4412.9
Nərimanov rayonu,2008,4830.0
Nərimanov rayonu,2009,4932.7
Nərimanov rayonu,2010,1205.1
Nərimanov rayonu,2011,2817.6
Nərimanov rayonu,2012,3352.0
Nərimanov rayonu,2013,3831.8
Nərimanov rayonu,2014,5578.4
Nərimanov rayonu,2015,7668.3
Nərimanov rayonu,2016,7244.7
Nərimanov rayonu,2017,8167.4
Nərimanov rayonu,2018,8148.1
Nərimanov rayonu,2019,11736.6
Nərimanov rayonu,2020,6167.4
Nərimanov rayonu,2021,11899.9
Nərimanov rayonu,2022,19347.5
Nərimanov rayonu,2023,23403.7
Nərimanov rayonu,2024,24270.8
Nəsimi rayonu,2006,13731.1
Nəsimi rayonu,2007,16995.9
Nəsimi rayonu,2008,21534.9
Nəsimi rayonu,2009,14588.9
Nəsimi rayonu,2010,12273.1
Nəsimi rayonu,2011,13345.7
Nəsimi rayonu,2012,13819.6
Nəsimi rayonu,2013,20528.7
Nəsimi rayonu,2014,28767.5
Nəsimi rayonu,2015,30932.1
Nəsimi rayonu,2016,33016.3
Nəsimi rayonu,2017,38824.2
Nəsimi rayonu,2018,41487.1
Nəsimi rayonu,2019,50674.0
Nəsimi rayonu,2020,29212.7
Nəsimi rayonu,2021,35068.2
Nəsimi rayonu,2022,52894.5
Nəsimi rayonu,2023,74842.8
Nəsimi rayonu,2024,107967.0
Nizami rayonu,2006,531.8
Nizami rayonu,2007,1387.5
Nizami rayonu,2008,1420.9
Nizami rayonu,2009,1357.6
Nizami rayonu,2010,355.0
Nizami rayonu,2011,645.9
Nizami rayonu,2012,731.0
Nizami rayonu,2013,615.3
Nizami rayonu,2014,1124.9
Nizami rayonu,2015,2379.0
Nizami rayonu,2016,1586.4
Nizami rayonu,2017,2160.5
Nizami rayonu,2018,1845.1
Nizami rayonu,2019,1522.3
Nizami rayonu,2020,253.9
Nizami rayonu,2021,13.3
Nizami rayonu,2022,48.1
Nizami rayonu,2023,628.7
Nizami rayonu,2024,979.7
Sabunçu rayonu,2007,3.9
Sabunçu rayonu,2008,5.4
Sabunçu rayonu,2009,220.1
Sabunçu rayonu,2010,2643.1
Sabunçu rayonu,2011,179.2
Sabunçu rayonu,2012,309.5
Sabunçu rayonu,2013,7760.7
Sabunçu rayonu,2014,5510.9
Sabunçu rayonu,2016,4873.5
Sabunçu rayonu,2017,4386.6
Sabunçu rayonu,2018,1972.2
Sabunçu rayonu,2019,2825.8
Sabunçu rayonu,2020,2325.0
Sabunçu rayonu,2021,8405.7
Sabunçu rayonu,2022,5196.7
Sabunçu rayonu,2023,7623.9
Sabunçu rayonu,2024,9404.7
Səbail rayonu,2006,6431.5
Səbail rayonu,2007,7642.5
Səbail rayonu,2008,7829.4
Səbail rayonu,2009,9436.7
Səbail rayonu,2010,17182.8
Səbail rayonu,2011,22666.5
Səbail rayonu,2012,29314.6
Səbail rayonu,2013,39916.9
Səbail rayonu,2014,41948.7
Səbail rayonu,2015,50985.8
Səbail rayonu,2016,64708.6
Səbail rayonu,2017,85986.2
Səbail rayonu,2018,78179.8
Səbail rayonu,2019,82758.2
Səbail rayonu,2020,41612.9
Səbail rayonu,2021,57199.2
Səbail rayonu,2022,72531.3
Səbail rayonu,2023,95952.4
Səbail rayonu,2024,132229.8
Suraxanı rayonu,2007,199.0
Suraxanı rayonu,2008,334.2
Suraxanı rayonu,2009,33.8
Suraxanı rayonu,2010,102.7
Suraxanı rayonu,2023,104.8
Suraxanı rayonu,2024,83.9
Yasamal rayonu,2006,18052.1
Yasamal rayonu,2007,37629.6
Yasamal rayonu,2008,38256.6
Yasamal rayonu,2009,32298.0
Yasamal rayonu,2010,21063.7
Yasamal rayonu,2011,17693.8
Yasamal rayonu,2012,23541.3
Yasamal rayonu,2013,34199.7
Yasamal rayonu,2014,25452.8
Yasamal rayonu,2015,30250.7
Yasamal rayonu,2016,24042.5
Yasamal rayonu,2017,11633.2
Yasamal rayonu,2018,34148.3
Yasamal rayonu,2019,35782.1
Yasamal rayonu,2020,13201.1
Yasamal rayonu,2021,10676.8
Yasamal rayonu,2022,12287.9
Yasamal rayonu,2023,10242.0
Yasamal rayonu,2024,11363.2
Abşeron iqtisadi rayonu,2006,820.9
Abşeron iqtisadi rayonu,2007,584.2
Abşeron iqtisadi rayonu,2008,876.2
Abşeron iqtisadi rayonu,2009,1159.8999999999999
Abşeron iqtisadi rayonu,2010,956.0000000000001
Abşeron iqtisadi rayonu,2011,2226.9
Abşeron iqtisadi rayonu,2012,8972.2
Abşeron iqtisadi rayonu,2013,1054.9
Abşeron iqtisadi rayonu,2014,1173.7
Abşeron iqtisadi rayonu,2015,1273.5
Abşeron iqtisadi rayonu,2016,1373.1
Abşeron iqtisadi rayonu,2017,1518.8000000000002
Abşeron iqtisadi rayonu,2018,1812.7
Abşeron iqtisadi rayonu,2019,2282.7
Abşeron iqtisadi rayonu,2020,885.9000000000001
Abşeron iqtisadi rayonu,2021,1629.5
Abşeron iqtisadi rayonu,2022,1847.1
Abşeron iqtisadi rayonu,2023,2173.2
Abşeron iqtisadi rayonu,2024,2142.0
Sumqayıt şəhəri,2006,54.4
Sumqayıt şəhəri,2007,87.2
Sumqayıt şəhəri,2008,352.5
Sumqayıt şəhəri,2009,424.9
Sumqayıt şəhəri,2010,351.3
Sumqayıt şəhəri,2011,1607.5
Sumqayıt şəhəri,2012,8393.6
Sumqayıt şəhəri,2013,387.7
Sumqayıt şəhəri,2014,448.3
Sumqayıt şəhəri,2015,444.1
Sumqayıt şəhəri,2016,647.9
Sumqayıt şəhəri,2017,607.0
Sumqayıt şəhəri,2018,1152.1
Sumqayıt şəhəri,2019,1450.7
Sumqayıt şəhəri,2020,516.2
Sumqayıt şəhəri,2021,1349.7
Sumqayıt şəhəri,2022,1376.1
Sumqayıt şəhəri,2023,1578.3
Sumqayıt şəhəri,2024,1460.8
Abşeron rayonu,2006,541.6
Abşeron rayonu,2007,266.6
Abşeron rayonu,2008,266.6
Abşeron rayonu,2009,455.7
Abşeron rayonu,2010,329.1
Abşeron rayonu,2011,356.2
Abşeron rayonu,2012,336.5
Abşeron rayonu,2013,398.5
Abşeron rayonu,2014,463.6
Abşeron rayonu,2015,557.1
Abşeron rayonu,2016,378.1
Abşeron rayonu,2017,542.4
Abşeron rayonu,2018,413.4
Abşeron rayonu,2019,541.4
Abşeron rayonu,2020,229.5
Abşeron rayonu,2021,145.7
Abşeron rayonu,2022,265.3
Abşeron rayonu,2023,323.8
Abşeron rayonu,2024,353.6
Xızı rayonu,2006,224.9
Xızı rayonu,2007,230.4
Xızı rayonu,2008,257.1
Xızı rayonu,2009,279.3
Xızı rayonu,2010,275.6
Xızı rayonu,2011,263.2
Xızı rayonu,2012,242.1
Xızı rayonu,2013,268.7
Xızı rayonu,2014,261.8
Xızı rayonu,2015,272.3
Xızı rayonu,2016,347.1
Xızı rayonu,2017,369.4
Xızı rayonu,2018,247.2
Xızı rayonu,2019,290.6
Xızı rayonu,2020,140.2
Xızı rayonu,2021,134.1
Xızı rayonu,2022,205.7
Xızı rayonu,2023,271.1
Xızı rayonu,2024,327.6
Dağlıq Şirvan iqtisadi rayonu,2006,193.89999999999998
Dağlıq Şirvan iqtisadi rayonu,2007,391.09999999999997
Dağlıq Şirvan iqtisadi rayonu,2008,405.3
Dağlıq Şirvan iqtisadi rayonu,2009,514.7
Dağlıq Şirvan iqtisadi rayonu,2010,519.3
Dağlıq Şirvan iqtisadi rayonu,2011,936.6
Dağlıq Şirvan iqtisadi rayonu,2012,857.1
Dağlıq Şirvan iqtisadi rayonu,2013,655.8
Dağlıq Şirvan iqtisadi rayonu,2014,1314.1
Dağlıq Şirvan iqtisadi rayonu,2015,1705.8
Dağlıq Şirvan iqtisadi rayonu,2016,2285.4
Dağlıq Şirvan iqtisadi rayonu,2017,2075.2
Dağlıq Şirvan iqtisadi rayonu,2018,3854.6
Dağlıq Şirvan iqtisadi rayonu,2019,5657.5
Dağlıq Şirvan iqtisadi rayonu,2020,2564.1
Dağlıq Şirvan iqtisadi rayonu,2021,4634.099999999999
Dağlıq Şirvan iqtisadi rayonu,2022,7578.4
Dağlıq Şirvan iqtisadi rayonu,2023,11501.900000000001
Dağlıq Şirvan iqtisadi rayonu,2024,10011.2
Ağsu rayonu,2006,2.1
Ağsu rayonu,2007,2.3
Ağsu rayonu,2008,5.6
Ağsu rayonu,2009,6.0
Ağsu rayonu,2012,5.3
Ağsu rayonu,2013,11.4
Ağsu rayonu,2014,8.9
Ağsu rayonu,2015,18.3
Ağsu rayonu,2016,18.5
Ağsu rayonu,2017,11.6
Ağsu rayonu,2018,14.5
Ağsu rayonu,2019,17.3
Ağsu rayonu,2020,18.1
Ağsu rayonu,2021,20.3
Ağsu rayonu,2022,20.0
Ağsu rayonu,2023,22.6
Ağsu rayonu,2024,21.1
İsmayıllı rayonu,2006,13.1
İsmayıllı rayonu,2007,4.6
İsmayıllı rayonu,2008,15.4
İsmayıllı rayonu,2009,181.2
İsmayıllı rayonu,2010,176.9
İsmayıllı rayonu,2011,310.0
İsmayıllı rayonu,2012,180.6
İsmayıllı rayonu,2013,196.2
İsmayıllı rayonu,2014,491.6
İsmayıllı rayonu,2015,509.0
İsmayıllı rayonu,2016,263.5
İsmayıllı rayonu,2017,466.3
İsmayıllı rayonu,2018,660.1
İsmayıllı rayonu,2019,764.5
İsmayıllı rayonu,2020,169.4
İsmayıllı rayonu,2021,380.6
İsmayıllı rayonu,2022,2501.9
İsmayıllı rayonu,2023,5749.3
İsmayıllı rayonu,2024,5161.7
Şamaxı rayonu,2006,178.7
Şamaxı rayonu,2007,384.2
Şamaxı rayonu,2008,384.3
Şamaxı rayonu,2009,327.5
Şamaxı rayonu,2010,342.4
Şamaxı rayonu,2011,626.6
Şamaxı rayonu,2012,671.2
Şamaxı rayonu,2013,448.2
Şamaxı rayonu,2014,813.6
Şamaxı rayonu,2015,1178.5
Şamaxı rayonu,2016,2003.4
Şamaxı rayonu,2017,1597.3
Şamaxı rayonu,2018,3180.0
Şamaxı rayonu,2019,4875.7
Şamaxı rayonu,2020,2376.6
Şamaxı rayonu,2021,4233.2
Şamaxı rayonu,2022,5056.5
Şamaxı rayonu,2023,5730.0
Şamaxı rayonu,2024,4828.4
Gəncə-Daşkəsən iqtisadi rayonu,2006,669.6
Gəncə-Daşkəsən iqtisadi rayonu,2007,214.0
Gəncə-Daşkəsən iqtisadi rayonu,2008,664.1999999999999
Gəncə-Daşkəsən iqtisadi rayonu,2009,910.1
Gəncə-Daşkəsən iqtisadi rayonu,2010,816.4
Gəncə-Daşkəsən iqtisadi rayonu,2011,2985.1
Gəncə-Daşkəsən iqtisadi rayonu,2012,4442.400000000001
Gəncə-Daşkəsən iqtisadi rayonu,2013,6689.099999999999
Gəncə-Daşkəsən iqtisadi rayonu,2014,7587.099999999999
Gəncə-Daşkəsən iqtisadi rayonu,2015,8348.7
Gəncə-Daşkəsən iqtisadi rayonu,2016,5456.099999999999
Gəncə-Daşkəsən iqtisadi rayonu,2017,6985.599999999999
Gəncə-Daşkəsən iqtisadi rayonu,2018,12463.199999999999
Gəncə-Daşkəsən iqtisadi rayonu,2019,13284.300000000001
Gəncə-Daşkəsən iqtisadi rayonu,2020,8159.599999999999
