rayon,year,value
Bakı şəhəri,2006,157494.0
Bakı şəhəri,2007,159137.0
Bakı şəhəri,2008,253008.0
Bakı şəhəri,2009,243442.0
Bakı şəhəri,2010,230377.0
Bakı şəhəri,2011,282410.0
Bakı şəhəri,2012,363623.0
Bakı şəhəri,2013,456464.0
Bakı şəhəri,2014,432491.0
Bakı şəhəri,2015,535390.0
Bakı şəhəri,2016,686793.0
Bakı şəhəri,2017,905271.0
Bakı şəhəri,2018,1142200.0
Bakı şəhəri,2019,1199151.0
Bakı şəhəri,2020,396927.0
Bakı şəhəri,2021,639978.0
Bakı şəhəri,2022,996428.0
Bakı şəhəri,2023,1194500.0
Bakı şəhəri,2024,1489403.0
Binəqədi rayonu,2006,9544.0
Binəqədi rayonu,2007,9281.0
Binəqədi rayonu,2008,10619.0
Binəqədi rayonu,2009,3911.0
Binəqədi rayonu,2010,4209.0
Binəqədi rayonu,2011,4160.0
Binəqədi rayonu,2012,2839.0
Binəqədi rayonu,2013,3572.0
Binəqədi rayonu,2014,2240.0
Binəqədi rayonu,2015,3257.0
Binəqədi rayonu,2016,3092.0
Binəqədi rayonu,2017,1423.0
Binəqədi rayonu,2018,3836.0
Binəqədi rayonu,2019,3821.0
Binəqədi rayonu,2020,1198.0
Binəqədi rayonu,2021,2733.0
Binəqədi rayonu,2022,5525.0
Binəqədi rayonu,2023,6201.0
Binəqədi rayonu,2024,4205.0
Xətai rayonu,2006,5870.0
Xətai rayonu,2007,5870.0
Xətai rayonu,2008,6020.0
Xətai rayonu,2009,5649.0
Xətai rayonu,2010,6781.0
Xətai rayonu,2011,5268.0
Xətai rayonu,2012,6785.0
Xətai rayonu,2013,10083.0
Xətai rayonu,2014,11993.0
Xətai rayonu,2015,13875.0
Xətai rayonu,2016,11667.0
Xətai rayonu,2017,19086.0
Xətai rayonu,2018,15127.0
Xətai rayonu,2019,16611.0
Xətai rayonu,2020,3101.0
Xətai rayonu,2021,3024.0
Xətai rayonu,2022,8281.0
Xətai rayonu,2023,14313.0
Xətai rayonu,2024,48911.0
Xəzər rayonu,2016,300.0
Xəzər rayonu,2017,44125.0
Xəzər rayonu,2018,48815.0
Xəzər rayonu,2019,39561.0
Xəzər rayonu,2020,32238.0
Xəzər rayonu,2021,35505.0
Xəzər rayonu,2022,36047.0
Xəzər rayonu,2023,29750.0
Xəzər rayonu,2024,25550.0
Qaradağ rayonu,2006,6418.0
Qaradağ rayonu,2007,6435.0
Qaradağ rayonu,2008,26899.0
Qaradağ rayonu,2009,26895.0
Qaradağ rayonu,2010,21439.0
Qaradağ rayonu,2011,37645.0
Qaradağ rayonu,2012,26250.0
Qaradağ rayonu,2013,26008.0
Qaradağ rayonu,2014,26446.0
Qaradağ rayonu,2015,38716.0
Qaradağ rayonu,2016,32820.0
Qaradağ rayonu,2017,420.0
Qaradağ rayonu,2018,328.0
Qaradağ rayonu,2019,302.0
Qaradağ rayonu,2020,224.0
Qaradağ rayonu,2021,383.0
Qaradağ rayonu,2022,774.0
Qaradağ rayonu,2023,1326.0
Qaradağ rayonu,2024,1658.0
Nərimanov rayonu,2006,2944.0
Nərimanov rayonu,2007,3525.0
Nərimanov rayonu,2008,5961.0
Nərimanov rayonu,2009,6574.0
Nərimanov rayonu,2010,5481.0
Nərimanov rayonu,2011,10687.0
Nərimanov rayonu,2012,11596.0
Nərimanov rayonu,2013,8633.0
Nərimanov rayonu,2014,26345.0
Nərimanov rayonu,2015,34499.0
Nərimanov rayonu,2016,33593.0
Nərimanov rayonu,2017,45597.0
Nərimanov rayonu,2018,49275.0
Nərimanov rayonu,2019,73017.0
Nərimanov rayonu,2020,23812.0
Nərimanov rayonu,2021,148259.0
Nərimanov rayonu,2022,152287.0
Nərimanov rayonu,2023,191076.0
Nərimanov rayonu,2024,186318.0
Nəsimi rayonu,2006,32598.0
Nəsimi rayonu,2007,33954.0
Nəsimi rayonu,2008,85899.0
Nəsimi rayonu,2009,85046.0
Nəsimi rayonu,2010,61091.0
Nəsimi rayonu,2011,68243.0
Nəsimi rayonu,2012,79363.0
Nəsimi rayonu,2013,77222.0
Nəsimi rayonu,2014,91906.0
