rayon,year,value
Bakı şəhəri,2006,26636.0
Bakı şəhəri,2007,27618.0
Bakı şəhəri,2008,55442.0
Bakı şəhəri,2009,64056.0
Bakı şəhəri,2010,72877.0
Bakı şəhəri,2011,82088.0
Bakı şəhəri,2012,86450.0
Bakı şəhəri,2013,114625.0
Bakı şəhəri,2014,94714.0
Bakı şəhəri,2015,112826.0
Bakı şəhəri,2016,104201.0
Bakı şəhəri,2017,128892.0
Bakı şəhəri,2018,187095.0
Bakı şəhəri,2019,153716.0
Bakı şəhəri,2020,176677.0
Bakı şəhəri,2021,412264.0
Bakı şəhəri,2022,228781.0
Bakı şəhəri,2023,258644.0
Bakı şəhəri,2024,354733.0
Binəqədi rayonu,2006,960.0
Binəqədi rayonu,2007,687.0
Binəqədi rayonu,2008,690.0
Binəqədi rayonu,2009,632.0
Binəqədi rayonu,2010,1724.0
Binəqədi rayonu,2011,1879.0
Binəqədi rayonu,2012,1317.0
Binəqədi rayonu,2013,1343.0
Binəqədi rayonu,2014,840.0
Binəqədi rayonu,2015,918.0
Binəqədi rayonu,2016,1601.0
Binəqədi rayonu,2017,501.0
Binəqədi rayonu,2018,956.0
Binəqədi rayonu,2019,406.0
Binəqədi rayonu,2020,548.0
Binəqədi rayonu,2021,1242.0
Binəqədi rayonu,2022,1217.0
Binəqədi rayonu,2023,1186.0
Binəqədi rayonu,2024,181.0
Xətai rayonu,2006,1660.0
Xətai rayonu,2007,1660.0
Xətai rayonu,2008,1682.0
Xətai rayonu,2009,1502.0
Xətai rayonu,2010,1790.0
Xətai rayonu,2011,2171.0
Xətai rayonu,2012,1412.0
Xətai rayonu,2013,1323.0
Xətai rayonu,2014,1238.0
Xətai rayonu,2015,881.0
Xətai rayonu,2016,1159.0
Xətai rayonu,2017,561.0
Xətai rayonu,2018,678.0
Xətai rayonu,2019,3519.0
Xətai rayonu,2020,1242.0
Xətai rayonu,2021,639.0
Xətai rayonu,2022,2143.0
Xətai rayonu,2023,9234.0
Xətai rayonu,2024,43250.0
Xəzər rayonu,2006,6301.0
Xəzər rayonu,2007,6070.0
Xəzər rayonu,2008,11024.0
Xəzər rayonu,2009,11117.0
Xəzər rayonu,2010,15237.0
Xəzər rayonu,2011,21195.0
Xəzər rayonu,2012,15627.0
Xəzər rayonu,2013,15813.0
Xəzər rayonu,2014,4350.0
Xəzər rayonu,2015,5240.0
Xəzər rayonu,2016,3187.0
Xəzər rayonu,2017,20012.0
Xəzər rayonu,2018,5336.0
Xəzər rayonu,2019,4952.0
Xəzər rayonu,2020,3190.0
Xəzər rayonu,2021,4765.0
Xəzər rayonu,2022,4702.0
Xəzər rayonu,2023,6564.0
Xəzər rayonu,2024,4600.0
Qaradağ rayonu,2016,158.0
Qaradağ rayonu,2017,220.0
Qaradağ rayonu,2018,223.0
Qaradağ rayonu,2019,114.0
Qaradağ rayonu,2020,182.0
Qaradağ rayonu,2021,321.0
Qaradağ rayonu,2022,745.0
Qaradağ rayonu,2023,1253.0
Qaradağ rayonu,2024,1416.0
Nərimanov rayonu,2006,374.0
