rayon,year,value
Bakı şəhəri,2006,130858.0
Bakı şəhəri,2007,131519.0
Bakı şəhəri,2008,197566.0
Bakı şəhəri,2009,179386.0
Bakı şəhəri,2010,157500.0
Bakı şəhəri,2011,200322.0
Bakı şəhəri,2012,277173.0
Bakı şəhəri,2013,341839.0
Bakı şəhəri,2014,337777.0
Bakı şəhəri,2015,422564.0
Bakı şəhəri,2016,582592.0
Bakı şəhəri,2017,776379.0
Bakı şəhəri,2018,955105.0
Bakı şəhəri,2019,1045435.0
Bakı şəhəri,2020,220250.0
Bakı şəhəri,2021,227714.0
Bakı şəhəri,2022,767647.0
Bakı şəhəri,2023,935856.0
Bakı şəhəri,2024,1134670.0
Binəqədi rayonu,2006,8584.0
Binəqədi rayonu,2007,8594.0
Binəqədi rayonu,2008,9929.0
Binəqədi rayonu,2009,3279.0
Binəqədi rayonu,2010,2485.0
Binəqədi rayonu,2011,2281.0
Binəqədi rayonu,2012,1522.0
Binəqədi rayonu,2013,2229.0
Binəqədi rayonu,2014,1400.0
Binəqədi rayonu,2015,2339.0
Binəqədi rayonu,2016,1491.0
Binəqədi rayonu,2017,922.0
Binəqədi rayonu,2018,2880.0
Binəqədi rayonu,2019,3415.0
Binəqədi rayonu,2020,650.0
Binəqədi rayonu,2021,1491.0
Binəqədi rayonu,2022,4308.0
Binəqədi rayonu,2023,5015.0
Binəqədi rayonu,2024,4024.0
Xətai rayonu,2006,4210.0
Xətai rayonu,2007,4210.0
Xətai rayonu,2008,4338.0
Xətai rayonu,2009,4147.0
Xətai rayonu,2010,4991.0
Xətai rayonu,2011,3097.0
Xətai rayonu,2012,5373.0
Xətai rayonu,2013,8760.0
Xətai rayonu,2014,10755.0
Xətai rayonu,2015,12994.0
Xətai rayonu,2016,10508.0
Xətai rayonu,2017,18525.0
Xətai rayonu,2018,14449.0
Xətai rayonu,2019,13092.0
Xətai rayonu,2020,1859.0
Xətai rayonu,2021,2385.0
Xətai rayonu,2022,6138.0
Xətai rayonu,2023,5079.0
Xətai rayonu,2024,5661.0
Xəzər rayonu,2006,117.0
Xəzər rayonu,2007,365.0
Xəzər rayonu,2008,15875.0
Xəzər rayonu,2009,15778.0
Xəzər rayonu,2010,6202.0
Xəzər rayonu,2011,16450.0
Xəzər rayonu,2012,10623.0
Xəzər rayonu,2013,10195.0
Xəzər rayonu,2014,22096.0
Xəzər rayonu,2015,33476.0
Xəzər rayonu,2016,29633.0
Xəzər rayonu,2017,24113.0
Xəzər rayonu,2018,43479.0
Xəzər rayonu,2019,34609.0
Xəzər rayonu,2020,29048.0
Xəzər rayonu,2021,30740.0
Xəzər rayonu,2022,31345.0
Xəzər rayonu,2023,23186.0
Xəzər rayonu,2024,20950.0
Qaradağ rayonu,2016,142.0
Qaradağ rayonu,2017,200.0
Qaradağ rayonu,2018,105.0
Qaradağ rayonu,2019,188.0
Qaradağ rayonu,2020,42.0
Qaradağ rayonu,2021,62.0
Qaradağ rayonu,2022,29.0
Qaradağ rayonu,2023,73.0
Qaradağ rayonu,2024,242.0
Nərimanov rayonu,2006,2570.0
Nərimanov rayonu,2007,2673.0
Nərimanov rayonu,2008,4586.0
Nərimanov rayonu,2009,5046.0
Nərimanov rayonu,2010,4524.0
Nərimanov rayonu,2011,8404.0
Nərimanov rayonu,2012,8239.0
Nərimanov rayonu,2013,6342.0
Nərimanov rayonu,2014,21367.0
Nərimanov rayonu,2015,30701.0
Nərimanov rayonu,2016,30764.0
Nərimanov rayonu,2017,40805.0
Nərimanov rayonu,2018,41509.0
Nərimanov rayonu,2019,60718.0
Nərimanov rayonu,2020,6578.0
Nərimanov rayonu,2021,5726.0
Nərimanov rayonu,2022,111896.0
Nərimanov rayonu,2023,160014.0
Nərimanov rayonu,2024,161615.0
Nəsimi rayonu,2006,30957.0
Nəsimi rayonu,2007,30962.0
Nəsimi rayonu,2008,68966.0
Nəsimi rayonu,2009,68582.0
Nəsimi rayonu,2010,54959.0
Nəsimi rayonu,2011,59859.0
Nəsimi rayonu,2012,67650.0
Nəsimi rayonu,2013,65795.0
Nəsimi rayonu,2014,77616.0
Nəsimi rayonu,2015,108492.0
Nəsimi rayonu,2016,212286.0
Nəsimi rayonu,2017,302223.0
Nəsimi rayonu,2018,317240.0
Nəsimi rayonu,2019,418615.0
Nəsimi rayonu,2020,80431.0
Nəsimi rayonu,2021,77248.0
Nəsimi rayonu,2022,351802.0
Nəsimi rayonu,2023,404011.0
Nəsimi rayonu,2024,559355.0
Nizami rayonu,2006,2189.0
Nizami rayonu,2007,2192.0
Nizami rayonu,2008,2916.0
Nizami rayonu,2009,1593.0
Nizami rayonu,2010,863.0
Nizami rayonu,2011,1130.0
Nizami rayonu,2012,51.0
Nizami rayonu,2013,1045.0
Nizami rayonu,2014,2353.0
Nizami rayonu,2015,7768.0
Nizami rayonu,2016,5317.0
Nizami rayonu,2017,5078.0
Nizami rayonu,2018,4829.0
Nizami rayonu,2019,4168.0
Nizami rayonu,2020,452.0
Nizami rayonu,2021,253.0
Nizami rayonu,2024,955.0
Sabunçu rayonu,2009,120.0
Sabunçu rayonu,2010,91.0
Sabunçu rayonu,2011,954.0
Sabunçu rayonu,2012,489.0
Sabunçu rayonu,2013,20688.0
Sabunçu rayonu,2014,12929.0
Sabunçu rayonu,2015,25910.0
Sabunçu rayonu,2016,8432.0
Sabunçu rayonu,2017,10169.0
Sabunçu rayonu,2018,33526.0
Sabunçu rayonu,2019,37039.0
Sabunçu rayonu,2020,5850.0
Sabunçu rayonu,2021,4968.0
Sabunçu rayonu,2022,10025.0
Sabunçu rayonu,2023,11977.0
Sabunçu rayonu,2024,14102.0
Səbail rayonu,2006,18422.0
Səbail rayonu,2007,18472.0
Səbail rayonu,2008,24427.0
Səbail rayonu,2009,24484.0
Səbail rayonu,2010,37960.0
Səbail rayonu,2011,47490.0
Səbail rayonu,2012,129732.0
Səbail rayonu,2013,136971.0
Səbail rayonu,2014,136924.0
Səbail rayonu,2015,162392.0
Səbail rayonu,2016,235587.0
Səbail rayonu,2017,319447.0
Səbail rayonu,2018,324696.0
Səbail rayonu,2019,339894.0
Səbail rayonu,2020,82680.0
Səbail rayonu,2021,97560.0
Səbail rayonu,2022,236951.0
Səbail rayonu,2023,303717.0
Səbail rayonu,2024,341682.0
Suraxanı rayonu,2007,220.0
Suraxanı rayonu,2008,716.0
Suraxanı rayonu,2024,435.0
Yasamal rayonu,2006,63809.0
Yasamal rayonu,2007,63831.0
Yasamal rayonu,2008,65813.0
Yasamal rayonu,2009,56357.0
Yasamal rayonu,2010,45425.0
Yasamal rayonu,2011,60657.0
Yasamal rayonu,2012,53494.0
Yasamal rayonu,2013,89814.0
Yasamal rayonu,2014,52337.0
Yasamal rayonu,2015,38492.0
Yasamal rayonu,2016,48432.0
Yasamal rayonu,2017,54897.0
Yasamal rayonu,2018,172392.0
Yasamal rayonu,2019,133697.0
Yasamal rayonu,2020,12660.0
Yasamal rayonu,2021,7281.0
Yasamal rayonu,2022,15153.0
Yasamal rayonu,2023,22784.0
Yasamal rayonu,2024,25649.0
Abşeron iqtisadi rayonu,2006,1598.0
Abşeron iqtisadi rayonu,2007,556.0
Abşeron iqtisadi rayonu,2008,964.0
Abşeron iqtisadi rayonu,2009,1018.0
Abşeron iqtisadi rayonu,2010,838.0
Abşeron iqtisadi rayonu,2011,5136.0
Abşeron iqtisadi rayonu,2012,37620.0
Abşeron iqtisadi rayonu,2013,364.0
Abşeron iqtisadi rayonu,2014,661.0
Abşeron iqtisadi rayonu,2015,641.0
Abşeron iqtisadi rayonu,2016,1014.0
Abşeron iqtisadi rayonu,2017,2508.0
Abşeron iqtisadi rayonu,2018,3007.0
Abşeron iqtisadi rayonu,2019,1932.0
Abşeron iqtisadi rayonu,2020,177.0
Abşeron iqtisadi rayonu,2021,246.0
Abşeron iqtisadi rayonu,2022,1127.0
Abşeron iqtisadi rayonu,2023,1649.0
Abşeron iqtisadi rayonu,2024,1898.0
Sumqayıt şəhəri,2006,243.0
Sumqayıt şəhəri,2007,175.0
Sumqayıt şəhəri,2008,578.0
Sumqayıt şəhəri,2009,578.0
Sumqayıt şəhəri,2010,663.0
Sumqayıt şəhəri,2011,4991.0
Sumqayıt şəhəri,2012,37547.0
Sumqayıt şəhəri,2013,301.0
Sumqayıt şəhəri,2014,603.0
