rayon,year,value
Bakı şəhəri,2006,160166.0
Bakı şəhəri,2007,165512.0
Bakı şəhəri,2008,292530.0
Bakı şəhəri,2009,327388.0
Bakı şəhəri,2010,401912.0
Bakı şəhəri,2011,370915.0
Bakı şəhəri,2012,368646.0
Bakı şəhəri,2013,388476.0
Bakı şəhəri,2014,392651.0
Bakı şəhəri,2015,207271.0
Bakı şəhəri,2016,190417.0
Bakı şəhəri,2017,222113.0
Bakı şəhəri,2018,254230.0
Bakı şəhəri,2019,206060.0
Bakı şəhəri,2020,255194.0
Bakı şəhəri,2021,534628.0
Bakı şəhəri,2022,348449.0
Bakı şəhəri,2023,434620.0
Bakı şəhəri,2024,697518.0
Binəqədi rayonu,2006,1140.0
Binəqədi rayonu,2007,1153.0
Binəqədi rayonu,2008,1157.0
Binəqədi rayonu,2009,12301.0
Binəqədi rayonu,2010,11420.0
Binəqədi rayonu,2011,10797.0
Binəqədi rayonu,2012,3774.0
Binəqədi rayonu,2013,2081.0
Binəqədi rayonu,2014,1140.0
Binəqədi rayonu,2015,1436.0
Binəqədi rayonu,2016,12379.0
Binəqədi rayonu,2017,787.0
Binəqədi rayonu,2018,1433.0
Binəqədi rayonu,2019,2649.0
Binəqədi rayonu,2020,4158.0
Binəqədi rayonu,2021,6607.0
Binəqədi rayonu,2022,1248.0
Binəqədi rayonu,2023,1392.0
Binəqədi rayonu,2024,274.0
Xətai rayonu,2006,3810.0
Xətai rayonu,2007,3810.0
Xətai rayonu,2008,3860.0
Xətai rayonu,2009,2760.0
Xətai rayonu,2010,3229.0
Xətai rayonu,2011,3344.0
Xətai rayonu,2012,2519.0
Xətai rayonu,2013,3448.0
Xətai rayonu,2014,4378.0
Xətai rayonu,2015,2379.0
Xətai rayonu,2016,2563.0
Xətai rayonu,2017,754.0
Xətai rayonu,2018,2247.0
Xətai rayonu,2019,4357.0
Xətai rayonu,2020,1827.0
Xətai rayonu,2021,1607.0
Xətai rayonu,2022,4727.0
Xətai rayonu,2023,15768.0
Xətai rayonu,2024,52052.0
Xəzər rayonu,2006,114898.0
Xəzər rayonu,2007,115565.0
Xəzər rayonu,2008,198246.0
Xəzər rayonu,2009,193215.0
Xəzər rayonu,2010,133051.0
Xəzər rayonu,2011,199364.0
Xəzər rayonu,2012,168709.0
Xəzər rayonu,2013,89524.0
Xəzər rayonu,2014,76305.0
Xəzər rayonu,2015,16332.0
Xəzər rayonu,2016,27579.0
Xəzər rayonu,2017,81416.0
Xəzər rayonu,2018,11654.0
Xəzər rayonu,2019,11906.0
Xəzər rayonu,2020,11387.0
Xəzər rayonu,2021,13010.0
Xəzər rayonu,2022,9139.0
Xəzər rayonu,2023,16790.0
Xəzər rayonu,2024,41079.0
Qaradağ rayonu,2016,800.0
Qaradağ rayonu,2017,1130.0
