rayon,year,value
Bakı şəhəri,2006,527521.0
Bakı şəhəri,2007,536793.0
Bakı şəhəri,2008,586516.0
Bakı şəhəri,2009,504266.0
Bakı şəhəri,2010,397695.0
Bakı şəhəri,2011,492001.0
Bakı şəhəri,2012,570820.0
Bakı şəhəri,2013,707050.0
Bakı şəhəri,2014,688532.0
Bakı şəhəri,2015,825509.0
Bakı şəhəri,2016,1039479.0
Bakı şəhəri,2017,1357566.0
Bakı şəhəri,2018,1521893.0
Bakı şəhəri,2019,1725564.0
Bakı şəhəri,2020,325089.0
Bakı şəhəri,2021,335875.0
Bakı şəhəri,2022,1109745.0
Bakı şəhəri,2023,1537150.0
Bakı şəhəri,2024,1911551.0
Binəqədi rayonu,2006,19033.0
Binəqədi rayonu,2007,19049.0
Binəqədi rayonu,2008,19072.0
Binəqədi rayonu,2009,5373.0
Binəqədi rayonu,2010,14895.0
Binəqədi rayonu,2011,12958.0
Binəqədi rayonu,2012,4906.0
Binəqədi rayonu,2013,18883.0
Binəqədi rayonu,2014,2760.0
Binəqədi rayonu,2015,5539.0
Binəqədi rayonu,2016,3027.0
Binəqədi rayonu,2017,1776.0
Binəqədi rayonu,2018,6762.0
Binəqədi rayonu,2019,12496.0
Binəqədi rayonu,2020,1788.0
Binəqədi rayonu,2021,2693.0
Binəqədi rayonu,2022,7630.0
Binəqədi rayonu,2023,8355.0
Binəqədi rayonu,2024,6597.0
Xətai rayonu,2006,7906.0
Xətai rayonu,2007,7906.0
Xətai rayonu,2008,8060.0
Xətai rayonu,2009,14310.0
Xətai rayonu,2010,14211.0
Xətai rayonu,2011,12202.0
Xətai rayonu,2012,16453.0
Xətai rayonu,2013,23616.0
Xətai rayonu,2014,24066.0
Xətai rayonu,2015,29591.0
Xətai rayonu,2016,25924.0
Xətai rayonu,2017,32416.0
Xətai rayonu,2018,25554.0
Xətai rayonu,2019,77054.0
Xətai rayonu,2020,4171.0
Xətai rayonu,2021,4917.0
Xətai rayonu,2022,12662.0
Xətai rayonu,2023,11386.0
Xətai rayonu,2024,13139.0
Xəzər rayonu,2016,1050.0
Xəzər rayonu,2017,1420.0
Xəzər rayonu,2018,589.0
Xəzər rayonu,2019,1365.0
Xəzər rayonu,2020,33270.0
Xəzər rayonu,2021,33244.0
Xəzər rayonu,2022,34729.0
