rayon,year,capacity,rooms,nights,nights_domestic,nights_foreign,guests,guests_domestic,guests_foreign,revenue,expense,employees,economic_region,area_sqkm,hotel_density,revenue_per_capacity,revenue_per_guest,expense_per_guest,avg_stay,occupancy_proxy,emp_per_capacity,foreign_tourist_ratio,domestic_tourist_ratio,profit,profit_per_capacity,foreign_night_ratio
Abşeron iqtisadi rayonu,2006,1040.0,407.0,9642.0,7686.0,1956.0,7617.0,6019.0,1598.0,689.3,820.9,139.0,,,0.0,0.6627884615384615,0.09049494551660758,0.10777208874885125,1.265852697912564,0.025400421496311908,0.13365384615384615,0.20979388210581593,0.790206117894184,-131.60000000000002,-0.12653846153846157,0.2028624766645924
Abşeron rayonu,2006,130.0,65.0,4831.0,3983.0,848.0,4831.0,3983.0,848.0,538.3,541.6,81.0,Absheron,,0.0,4.14076923076923,0.11142620575450217,0.11210929414199959,1.0,0.10181243414120127,0.6230769230769231,0.17553301593872905,0.824466984061271,-3.300000000000068,-0.025384615384615908,0.17553301593872905
Astara rayonu,2006,186.0,83.0,3383.0,2471.0,912.0,2786.0,1984.0,802.0,28.1,43.9,15.0,Lankaran-Astara,461.5057835,0.4030285353942915,0.15107526881720432,0.010086145010768127,0.015757358219669778,1.2142857142857142,0.04983060833701576,0.08064516129032258,0.28786791098348885,0.7121320890165111,-15.799999999999997,-0.08494623655913977,0.2695832101684895
Ağcabədi rayonu,2006,60.0,30.0,117.0,117.0,,117.0,117.0,,0.6,1.0,2.0,Karabakh,,0.0,0.01,0.005128205128205128,0.008547008547008548,1.0,0.005342465753424658,0.03333333333333333,0.0,1.0,-0.4,-0.006666666666666667,0.0
Ağdaş rayonu,2006,90.0,52.0,846.0,830.0,16.0,360.0,350.0,10.0,4.1,3.8,5.0,Central Aran,,0.0,0.04555555555555555,0.011388888888888888,0.010555555555555556,2.35,0.025753424657534246,0.05555555555555555,0.027777777777777776,0.9722222222222222,0.2999999999999998,0.0033333333333333314,0.018912529550827423
Ağstafa rayonu,2006,54.0,23.0,11403.0,10920.0,483.0,6766.0,6503.0,263.0,41.8,33.4,6.0,Gazakh-Tovuz,,0.0,0.774074074074074,0.006177948566361217,0.0049364469405852795,1.6853384569908365,0.5785388127853881,0.1111111111111111,0.03887082471179427,0.9611291752882057,8.399999999999999,0.15555555555555553,0.0423572744014733
Ağsu rayonu,2006,72.0,72.0,456.0,456.0,,456.0,456.0,,2.1,2.1,3.0,Mountainous Shirvan,,0.0,0.029166666666666667,0.004605263157894737,0.004605263157894737,1.0,0.017351598173515982,0.041666666666666664,0.0,1.0,0.0,0.0,0.0
Bakı şəhəri,2006,6927.0,3816.0,687687.0,160166.0,527521.0,157494.0,26636.0,130858.0,68064.6,43994.7,2677.0,,,0.0,9.825985275010828,0.43217265419635037,0.27934207017410184,4.366433006971694,0.2719898906601328,0.38645878446658005,0.8308760968671822,0.16912390313281775,24069.90000000001,3.4747942832394987,0.7670946229898195
Balakən rayonu,2006,48.0,24.0,160.0,160.0,,160.0,160.0,,0.6,0.9,2.0,Sheki-Zagatala,,0.0,0.012499999999999999,0.00375,0.005625,1.0,0.0091324200913242,0.041666666666666664,0.0,1.0,-0.30000000000000004,-0.006250000000000001,0.0
Beyləqan rayonu,2006,35.0,17.0,496.0,496.0,,406.0,406.0,,20.8,6.2,2.0,Mil-Mughan,,0.0,0.5942857142857143,0.05123152709359606,0.015270935960591134,1.2216748768472907,0.03882583170254403,0.05714285714285714,0.0,1.0,14.600000000000001,0.4171428571428572,0.0
