rayon,year,value
Bakı şəhəri,2006,68064.6
Bakı şəhəri,2007,81855.4
Bakı şəhəri,2008,86283.70000000001
Bakı şəhəri,2009,81187.1
Bakı şəhəri,2010,79864.6
Bakı şəhəri,2011,88441.2
Bakı şəhəri,2012,117394.1
Bakı şəhəri,2013,146886.2
Bakı şəhəri,2014,150200.4
Bakı şəhəri,2015,149219.6
Bakı şəhəri,2016,176875.50000000003
Bakı şəhəri,2017,216879.1
Bakı şəhəri,2018,255766.10000000003
Bakı şəhəri,2019,335760.9
Bakı şəhəri,2020,75961.29999999999
Bakı şəhəri,2021,128542.7
Bakı şəhəri,2022,227798.2
Bakı şəhəri,2023,314117.4
Bakı şəhəri,2024,474197.8
Binəqədi rayonu,2006,969.9
Binəqədi rayonu,2007,1133.9
Binəqədi rayonu,2008,1135.9
Binəqədi rayonu,2009,834.2
Binəqədi rayonu,2010,1598.7
Binəqədi rayonu,2011,898.4
Binəqədi rayonu,2012,336.4
Binəqədi rayonu,2013,3317.7
Binəqədi rayonu,2014,368.3
Binəqədi rayonu,2015,514.3
Binəqədi rayonu,2016,304.5
Binəqədi rayonu,2017,161.3
Binəqədi rayonu,2018,449.0
Binəqədi rayonu,2019,936.5
Binəqədi rayonu,2020,536.0
Binəqədi rayonu,2021,476.8
Binəqədi rayonu,2022,411.1
Binəqədi rayonu,2023,510.4
Binəqədi rayonu,2024,542.1
Xətai rayonu,2006,24.3
Xətai rayonu,2007,42.5
Xətai rayonu,2008,55.6
Xətai rayonu,2009,548.7
Xətai rayonu,2010,624.7
Xətai rayonu,2011,745.4
Xətai rayonu,2012,1180.9
Xətai rayonu,2013,1249.6
Xətai rayonu,2014,1326.6
Xətai rayonu,2015,2015.0
Xətai rayonu,2016,1595.2
Xətai rayonu,2017,2157.3
Xətai rayonu,2018,1832.2
Xətai rayonu,2019,2296.8
Xətai rayonu,2020,464.0
Xətai rayonu,2021,503.0
Xətai rayonu,2022,1338.2
Xətai rayonu,2023,2078.1
