rayon,year,value
Bakı şəhəri,2006,3816.0
Bakı şəhəri,2007,4342.0
Bakı şəhəri,2008,4563.0
Bakı şəhəri,2009,4369.0
Bakı şəhəri,2010,5471.0
Bakı şəhəri,2011,5607.0
Bakı şəhəri,2012,6386.0
Bakı şəhəri,2013,6837.0
Bakı şəhəri,2014,7491.0
Bakı şəhəri,2015,7656.0
Bakı şəhəri,2016,8692.0
Bakı şəhəri,2017,9496.0
Bakı şəhəri,2018,10233.0
Bakı şəhəri,2019,11329.0
Bakı şəhəri,2020,11533.0
Bakı şəhəri,2021,11985.0
Bakı şəhəri,2022,13249.0
Bakı şəhəri,2023,14205.0
Bakı şəhəri,2024,15592.0
Binəqədi rayonu,2006,292.0
Binəqədi rayonu,2007,380.0
Binəqədi rayonu,2008,298.0
Binəqədi rayonu,2009,293.0
Binəqədi rayonu,2010,311.0
Binəqədi rayonu,2011,268.0
Binəqədi rayonu,2012,409.0
Binəqədi rayonu,2013,486.0
Binəqədi rayonu,2014,546.0
Binəqədi rayonu,2015,564.0
Binəqədi rayonu,2016,581.0
Binəqədi rayonu,2017,581.0
Binəqədi rayonu,2018,322.0
Binəqədi rayonu,2019,424.0
Binəqədi rayonu,2020,424.0
Binəqədi rayonu,2021,468.0
Binəqədi rayonu,2022,578.0
Binəqədi rayonu,2023,732.0
Binəqədi rayonu,2024,732.0
Xətai rayonu,2006,48.0
Xətai rayonu,2007,48.0
Xətai rayonu,2008,48.0
Xətai rayonu,2009,96.0
Xətai rayonu,2010,213.0
Xətai rayonu,2011,234.0
Xətai rayonu,2012,383.0
Xətai rayonu,2013,364.0
Xətai rayonu,2014,399.0
Xətai rayonu,2015,398.0
Xətai rayonu,2016,422.0
Xətai rayonu,2017,454.0
Xətai rayonu,2018,445.0
Xətai rayonu,2019,537.0
Xətai rayonu,2020,590.0
Xətai rayonu,2021,629.0
Xətai rayonu,2022,644.0
Xətai rayonu,2023,659.0
Xətai rayonu,2024,793.0
Xəzər rayonu,2006,623.0
Xəzər rayonu,2007,853.0
Xəzər rayonu,2008,768.0
Xəzər rayonu,2009,768.0
Xəzər rayonu,2010,768.0
Xəzər rayonu,2011,753.0
Xəzər rayonu,2012,357.0
Xəzər rayonu,2013,357.0
Xəzər rayonu,2014,357.0
Xəzər rayonu,2015,350.0
Xəzər rayonu,2016,350.0
Xəzər rayonu,2017,350.0
Xəzər rayonu,2018,375.0
Xəzər rayonu,2019,475.0
Xəzər rayonu,2020,475.0
Xəzər rayonu,2021,513.0
Xəzər rayonu,2022,528.0
Xəzər rayonu,2023,538.0
Xəzər rayonu,2024,562.0
Qaradağ rayonu,2012,215.0
Qaradağ rayonu,2013,215.0
Qaradağ rayonu,2014,215.0
Qaradağ rayonu,2015,215.0
Qaradağ rayonu,2016,325.0
