file,title,region,year,value
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2006,20256.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2007,26008.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2008,27055.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2009,28509.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2010,34121.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2011,42583.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2012,62866.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2013,65448.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2014,66233.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2015,44615.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2016,36978.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2017,44066.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2018,49992.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2019,63885.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2020,5342.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2021,9811.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2022,16803.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2023,27007.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Ölkə üzrə cəmi,2024,78447.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2006,18429.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2007,25782.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2008,26795.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2009,27590.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2010,31212.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2011,39407.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2012,59294.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2013,61709.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2014,62430.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2015,40621.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2016,32800.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2017,31730.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2018,40760.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2019,59290.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2020,4817.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2021,8513.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2022,13528.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2023,23509.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Bakı şəhəri,2024,71836.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2006,17.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2007,4.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2009,25.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2010,3918.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2011,4741.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2012,7644.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2013,6863.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2014,3893.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2015,1750.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2016,1078.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2017,1083.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2018,2825.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2019,966.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2020,233.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2021,23.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2022,21.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2023,51.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Binəqədi rayonu,2024,17.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Xətai rayonu,2006,1258.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Xətai rayonu,2007,3432.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Xətai rayonu,2008,3711.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Xətai rayonu,2009,3345.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Xətai rayonu,2010,1935.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Xətai rayonu,2011,1637.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Xətai rayonu,2012,1550.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Xətai rayonu,2013,1414.0
