file,title,indicator,year,value
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2006,3576.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2007,3231.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2008,4259.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2009,4690.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2010,6291.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2011,7049.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2012,7716.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2013,8560.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2014,8478.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2015,8165.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2016,8502.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2017,8174.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2018,9799.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2019,11130.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2020,2384.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2021,1882.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2022,2964.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2023,3691.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2024,4297.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2006,2520.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2007,2642.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2008,3782.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2009,3654.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2010,3918.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2011,4454.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2012,4962.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2013,5018.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2014,4599.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2015,4026.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2016,4498.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2017,5388.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2018,5705.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2019,6334.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2020,1644.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2021,1550.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2022,3167.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2023,4169.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2024,5247.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2006,3002.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2007,2933.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2008,3996.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2009,4158.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2010,5079.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2011,5738.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2012,6326.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2013,6784.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2014,6531.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2015,6076.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2016,6469.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2017,6762.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2018,7740.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2019,8732.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2020,2015.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2021,1699.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2022,3076.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2023,3908.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisinə daxil olanların sayı,2024,4765.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2006,1740.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2007,1600.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2008,2097.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2009,2328.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2010,3116.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2011,3499.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2012,3842.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2013,4275.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2014,4233.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2015,4069.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2016,4220.5
