year,category,value_thousands,value
2006,Ümumi,6096.5,6096500
2007,Ümumi,5874.5,5874500
2008,Ümumi,8041.9,8041900
2009,Ümumi,8345.4,8345400
2010,Ümumi,10210.3,10210300
2011,Ümumi,11504.3,11504300
2012,Ümumi,12679.0,12679000
2013,Ümumi,13578.6,13578600
2014,Ümumi,13077.2,13077200
2015,Ümumi,12192.0,12192000
2016,Ümumi,13000.8,13000800
2017,Ümumi,13563.1,13563100
2018,Ümumi,15504.3,15504300
2019,Ümumi,17464.3,17464300
2020,Ümumi,4028.3,4028300
2021,Ümumi,3432.4,3432400
2022,Ümumi,6131.6,6131600
2023,Ümumi,7860.4,7860400
2024,Ümumi,9544.9,9544900
2006,Azərbaycan vətəndaşları,3576.0,3576000
2007,Azərbaycan vətəndaşları,3231.6,3231600
2008,Azərbaycan vətəndaşları,4259.8,4259800
2009,Azərbaycan vətəndaşları,4690.7,4690700
2010,Azərbaycan vətəndaşları,6291.7,6291700
2011,Azərbaycan vətəndaşları,7049.8,7049800
2012,Azərbaycan vətəndaşları,7716.9,7716900
2013,Azərbaycan vətəndaşları,8560.4,8560400
2014,Azərbaycan vətəndaşları,8478.1,8478100
2015,Azərbaycan vətəndaşları,8165.7,8165700
2016,Azərbaycan vətəndaşları,8502.3,8502300
2017,Azərbaycan vətəndaşları,8174.2,8174200
2018,Azərbaycan vətəndaşları,9799.3,9799300
2019,Azərbaycan vətəndaşları,11130.0,11130000
2020,Azərbaycan vətəndaşları,2384.0,2384000
2021,Azərbaycan vətəndaşları,1882.4,1882400
2022,Azərbaycan vətəndaşları,2964.1,2964100
2023,Azərbaycan vətəndaşları,3691.1,3691100
2024,Azərbaycan vətəndaşları,4297.2,4297200
2006,Əcnəbilər və vətəndaşlığı olmayan şəxslər,2520.5,2520500
2007,Əcnəbilər və vətəndaşlığı olmayan şəxslər,2642.9,2642900
2008,Əcnəbilər və vətəndaşlığı olmayan şəxslər,3782.1,3782100
2009,Əcnəbilər və vətəndaşlığı olmayan şəxslər,3654.7,3654700
2010,Əcnəbilər və vətəndaşlığı olmayan şəxslər,3918.6,3918600
2011,Əcnəbilər və vətəndaşlığı olmayan şəxslər,4454.5,4454500
2012,Əcnəbilər və vətəndaşlığı olmayan şəxslər,4962.1,4962100
2013,Əcnəbilər və vətəndaşlığı olmayan şəxslər,5018.2,5018200
2014,Əcnəbilər və vətəndaşlığı olmayan şəxslər,4599.1,4599100
2015,Əcnəbilər və vətəndaşlığı olmayan şəxslər,4026.3,4026300
2016,Əcnəbilər və vətəndaşlığı olmayan şəxslər,4498.5,4498500
2017,Əcnəbilər və vətəndaşlığı olmayan şəxslər,5388.9,5388900
2018,Əcnəbilər və vətəndaşlığı olmayan şəxslər,5705.0,5705000
2019,Əcnəbilər və vətəndaşlığı olmayan şəxslər,6334.3,6334300
2020,Əcnəbilər və vətəndaşlığı olmayan şəxslər,1644.3,1644300
2021,Əcnəbilər və vətəndaşlığı olmayan şəxslər,1550.0,1550000
2022,Əcnəbilər və vətəndaşlığı olmayan şəxslər,3167.5,3167500
2023,Əcnəbilər və vətəndaşlığı olmayan şəxslər,4169.3,4169300
2024,Əcnəbilər və vətəndaşlığı olmayan şəxslər,5247.7,5247700
2006,Daxil olanlar (ümumi),3002.0,3002000
2007,Daxil olanlar (ümumi),2933.0,2933000
2008,Daxil olanlar (ümumi),3996.4,3996400
2009,Daxil olanlar (ümumi),4158.6,4158600
