year,country,visitor_count,share_percent
2008,Cəmi,1898939,100.0
2009,Cəmi,1830367,100.0
2010,Cəmi,1962906,100.0
2011,Cəmi,2239141,100.0
2012,Cəmi,2484048,100.0
2013,Cəmi,2508904,100.0
2014,Cəmi,2297804,100.0
2015,Cəmi,2006176,100.0
2016,Cəmi,2248773,100.0
2017,Cəmi,2696745,100.0
2018,Cəmi,2849592,100.0
2019,Cəmi,3170373,100.0
2020,Cəmi,795722,100.0
2021,Cəmi,791751,100.0
2022,Cəmi,1602279,100.0
2023,Cəmi,2085790,100.0
2024,Cəmi,2626679,100.0
2008,ABŞ,13314,0.7
2009,ABŞ,11663,0.64
2010,ABŞ,11986,0.61
2011,ABŞ,11443,0.51
2012,ABŞ,13687,0.55
2013,ABŞ,15612,0.62
2014,ABŞ,14543,0.63
2015,ABŞ,13208,0.66
2016,ABŞ,12291,0.55
2017,ABŞ,15178,0.56
2018,ABŞ,17516,0.61
2019,ABŞ,18787,0.59
2020,ABŞ,2604,0.33
2021,ABŞ,4409,0.56
2022,ABŞ,12305,0.77
2023,ABŞ,16968,0.81
2024,ABŞ,22927,0.87
2008,Almaniya,8740,0.46
2009,Almaniya,10695,0.58
2010,Almaniya,10602,0.54
2011,Almaniya,11927,0.53
2012,Almaniya,16445,0.66
2013,Almaniya,13920,0.55
2014,Almaniya,13838,0.6
2015,Almaniya,15210,0.76
2016,Almaniya,13042,0.58
2017,Almaniya,16319,0.61
2018,Almaniya,17200,0.6
2019,Almaniya,20509,0.65
2020,Almaniya,3531,0.44
2021,Almaniya,5922,0.75
2022,Almaniya,14427,0.9
2023,Almaniya,17063,0.82
2024,Almaniya,21731,0.83
2008,Avstraliya,1276,0.07
2009,Avstraliya,1109,0.06
2010,Avstraliya,1122,0.06
2011,Avstraliya,1129,0.05
2012,Avstraliya,1296,0.05
2013,Avstraliya,1518,0.06
2014,Avstraliya,2161,0.09
2015,Avstraliya,2233,0.11
2016,Avstraliya,1851,0.08
2017,Avstraliya,2455,0.09
2018,Avstraliya,3251,0.11
2019,Avstraliya,4054,0.13
2020,Avstraliya,360,0.05
2021,Avstraliya,218,0.03
2022,Avstraliya,1812,0.11
2023,Avstraliya,2722,0.13
2024,Avstraliya,4399,0.17
2008,Avstriya,1392,0.07
2009,Avstriya,1801,0.1
2010,Avstriya,2513,0.13
2011,Avstriya,3021,0.13
2012,Avstriya,3499,0.14
2013,Avstriya,2567,0.1
2014,Avstriya,2884,0.13
2015,Avstriya,2770,0.14
2016,Avstriya,2417,0.11
2017,Avstriya,2405,0.09
2018,Avstriya,2830,0.1
2019,Avstriya,3285,0.1
2020,Avstriya,437,0.05
2021,Avstriya,871,0.11
2022,Avstriya,1926,0.12
2023,Avstriya,2629,0.13
2024,Avstriya,2888,0.11
2008,Banqladeş,294,0.02
2009,Banqladeş,453,0.02
2010,Banqladeş,576,0.03
2011,Banqladeş,439,0.02
2012,Banqladeş,1151,0.05
2013,Banqladeş,581,0.02
2014,Banqladeş,518,0.02
2015,Banqladeş,1409,0.07
2016,Banqladeş,877,0.04
2017,Banqladeş,988,0.04
2018,Banqladeş,1233,0.04
2019,Banqladeş,1408,0.04
2020,Banqladeş,298,0.04
2021,Banqladeş,569,0.07
2022,Banqladeş,1394,0.09
2023,Banqladeş,2159,0.1
