year,direction,label,expenditure_per_person_usd
2014,incoming,Xərclər (gələn əcnəbilər),1281.2
2015,incoming,Xərclər (gələn əcnəbilər),1132.4
2016,incoming,Xərclər (gələn əcnəbilər),1411.3
2017,incoming,Xərclər (gələn əcnəbilər),2285.3
2018,incoming,Xərclər (gələn əcnəbilər),2661.6
2019,incoming,Xərclər (gələn əcnəbilər),2971.4
2020,incoming,Xərclər (gələn əcnəbilər),414.7
2021,incoming,Xərclər (gələn əcnəbilər),492.6
2022,incoming,Xərclər (gələn əcnəbilər),1340.2
2023,incoming,Xərclər (gələn əcnəbilər),2439.2
2024,incoming,Xərclər (gələn əcnəbilər),3403.5
2014,outgoing,Xərclər (gedən vətəndaşlar),1888.5
2015,outgoing,Xərclər (gedən vətəndaşlar),1816.9
2016,outgoing,Xərclər (gedən vətəndaşlar),1970.3
2017,outgoing,Xərclər (gedən vətəndaşlar),1678.9
2018,outgoing,Xərclər (gedən vətəndaşlar),2387.4
2019,outgoing,Xərclər (gedən vətəndaşlar),2407.6
2020,outgoing,Xərclər (gedən vətəndaşlar),412.5
2021,outgoing,Xərclər (gedən vətəndaşlar),510.3
2022,outgoing,Xərclər (gedən vətəndaşlar),924.8
2023,outgoing,Xərclər (gedən vətəndaşlar),1493.2
2024,outgoing,Xərclər (gedən vətəndaşlar),2219.0
