page_number,section_id,indicator,region_name,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
48,5.1,Number of hotels and similar establishments (units),rayonu,5.0,7.0,7.0,11.0,14.0,14.0
48,5.1,Number of hotels and similar establishments (units),Xankəndi şəhəri,,,,,,
48,5.1,Number of hotels and similar establishments (units),Ağcabədi rayonu,1.0,3.0,3.0,3.0,5.0,5.0
48,5.1,Number of hotels and similar establishments (units),Ağdam rayonu,,,,,,
48,5.1,Number of hotels and similar establishments (units),Ağdərə rayonu,,,,,,
48,5.1,Number of hotels and similar establishments (units),Bərdə rayonu,2.0,2.0,2.0,2.0,2.0,2.0
48,5.1,Number of hotels and similar establishments (units),Füzuli rayonu,1.0,1.0,1.0,1.0,1.0,1.0
48,5.1,Number of hotels and similar establishments (units),Şuşa rayonu,,,,3.0,3.0,3.0
48,5.1,Number of hotels and similar establishments (units),Tərtər rayonu,1.0,1.0,1.0,2.0,3.0,3.0
48,5.1,Number of hotels and similar establishments (units),rayonu,23.0,24.0,24.0,23.0,24.0,23.0
48,5.1,Number of hotels and similar establishments (units),Ağstafa rayonu,6.0,6.0,6.0,6.0,6.0,6.0
48,5.1,Number of hotels and similar establishments (units),Gədəbəy rayonu,6.0,6.0,6.0,6.0,7.0,7.0
48,5.1,Number of hotels and similar establishments (units),Qazax rayonu,5.0,5.0,5.0,3.0,3.0,3.0
48,5.1,Number of hotels and similar establishments (units),Şəmkir rayonu,2.0,3.0,3.0,4.0,4.0,3.0
48,5.1,Number of hotels and similar establishments (units),Tovuz rayonu,4.0,4.0,4.0,4.0,4.0,4.0
48,5.1,Number of hotels and similar establishments (units),rayonu,101.0,104.0,106.0,108.0,112.0,113.0
48,5.1,Number of hotels and similar establishments (units),Xaçmaz rayonu,54.0,54.0,54.0,56.0,57.0,58.0
48,5.1,Number of hotels and similar establishments (units),Quba rayonu,24.0,25.0,27.0,27.0,29.0,31.0
48,5.1,Number of hotels and similar establishments (units),Qusar rayonu,19.0,20.0,20.0,20.0,20.0,20.0
48,5.1,Number of hotels and similar establishments (units),Siyəzən rayonu,,,,,,
48,5.1,Number of hotels and similar establishments (units),Şabran rayonu,4.0,5.0,5.0,5.0,6.0,4.0
48,5.1,Number of hotels and similar establishments (units),iqtisadi rayonu,75.0,77.0,77.0,82.0,87.0,94.0
48,5.1,Number of hotels and similar establishments (units),Astara rayonu,10.0,10.0,10.0,13.0,16.0,18.0
48,5.1,Number of hotels and similar establishments (units),Cəlilabad rayonu,4.0,4.0,4.0,4.0,5.0,5.0
48,5.1,Number of hotels and similar establishments (units),Lerik rayonu,6.0,6.0,6.0,6.0,6.0,6.0
48,5.1,Number of hotels and similar establishments (units),Lənkəran rayonu,21.0,23.0,23.0,25.0,26.0,28.0
48,5.1,Number of hotels and similar establishments (units),Masallı rayonu,31.0,31.0,31.0,31.0,30.0,33.0
48,5.1,Number of hotels and similar establishments (units),Yardımlı rayonu,3.0,3.0,3.0,3.0,4.0,4.0
48,5.1,Number of hotels and similar establishments (units),rayonu,25.0,26.0,26.0,27.0,27.0,28.0
48,5.1,Number of hotels and similar establishments (units),Mingəçevir şəhəri,8.0,9.0,9.0,9.0,9.0,9.0
48,5.1,Number of hotels and similar establishments (units),Ağdaş rayonu,3.0,3.0,3.0,3.0,3.0,3.0
48,5.1,Number of hotels and similar establishments (units),Göyçay rayonu,4.0,4.0,4.0,5.0,5.0,5.0
48,5.1,Number of hotels and similar establishments (units),Kürdəmir rayonu,7.0,7.0,7.0,7.0,7.0,8.0
48,5.1,Number of hotels and similar establishments (units),Ucar rayonu,,,,,,
48,5.1,Number of hotels and similar establishments (units),Yevlax rayonu,2.0,2.0,2.0,2.0,2.0,2.0
48,5.1,Number of hotels and similar establishments (units),Zərdab rayonu,1.0,1.0,1.0,1.0,1.0,1.0
48,5.1,Number of hotels and similar establishments (units),rayonu,12.0,12.0,12.0,12.0,13.0,17.0
48,5.1,Number of hotels and similar establishments (units),Beyləqan rayonu,4.0,4.0,4.0,4.0,4.0,5.0
