page_number,section_id,indicator,region_name,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
40,5.1,Number of hotels and similar establishments (units),Absheron,1.2,1.0,0.4,1.4,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Agdam,41.7,38.8,10.3,30.4,37.7,39.4
40,5.1,Number of hotels and similar establishments (units),Agdash,1.1,1.0,0.3,0.8,1.1,1.4
40,5.1,Number of hotels and similar establishments (units),Aghjabadi,7.3,6.9,2.8,6.2,8.9,7.9
40,5.1,Number of hotels and similar establishments (units),Agstafa,1.0,1.1,0.3,1.0,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Agsu,1.0,1.9,0.3,0.8,1.5,1.2
40,5.1,Number of hotels and similar establishments (units),Astara,1.1,1.0,0.3,0.9,1.5,1.3
40,5.1,Number of hotels and similar establishments (units),Babek,1.0,1.0,0.3,0.8,1.1,1.7
40,5.1,Number of hotels and similar establishments (units),Baku,1.2,1.0,0.4,0.8,1.1,1.5
40,5.1,Number of hotels and similar establishments (units),Balakan,1.5,1.5,0.3,0.8,1.3,1.7
40,5.1,Number of hotels and similar establishments (units),Barda,12.4,12.8,3.5,9.1,15.5,17.0
40,5.1,Number of hotels and similar establishments (units),Beylagan,25.8,28.6,8.1,19.4,29.6,34.5
40,5.1,Number of hotels and similar establishments (units),Bilasuvar,1.0,1.8,0.3,1.1,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Dashkasan,1.0,1.0,0.3,1.0,1.9,1.2
40,5.1,Number of hotels and similar establishments (units),Fuzuli,92.8,95.9,33.1,83.4,105.2,122.1
40,5.1,Number of hotels and similar establishments (units),Gadabay,1.0,1.5,0.3,0.8,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Ganja,1.1,1.1,0.3,0.8,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Goranboy,1.0,1.0,0.3,1.0,2.1,1.3
40,5.1,Number of hotels and similar establishments (units),Goychay,1.1,1.0,0.3,0.8,1.1,2.5
40,5.1,Number of hotels and similar establishments (units),Goygol,1.0,1.2,0.3,0.8,1.8,1.6
40,5.1,Number of hotels and similar establishments (units),Hajigabul,1.4,1.0,0.5,0.8,1.4,2.4
40,5.1,Number of hotels and similar establishments (units),Imishli,1.0,1.0,0.3,0.8,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Ismayilli,1.0,1.2,0.3,1.4,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Jabrayil,68.1,55.2,19.3,57.0,58.2,73.8
40,5.1,Number of hotels and similar establishments (units),Jalilabad,1.1,1.4,0.3,0.8,1.4,1.3
40,5.1,Number of hotels and similar establishments (units),Julfa,1.1,1.2,0.3,0.9,1.2,1.2
40,5.1,Number of hotels and similar establishments (units),Kalbajar,1.9,1.2,0.3,1.0,1.1,1.6
40,5.1,Number of hotels and similar establishments (units),Kangarli,1.6,1.0,0.4,1.0,1.5,2.2
40,5.1,Number of hotels and similar establishments (units),Khachmaz,1.0,1.0,0.3,0.8,1.1,1.4
40,5.1,Number of hotels and similar establishments (units),Khizi,1.1,1.4,0.3,1.4,1.1,2.8
40,5.1,Number of hotels and similar establishments (units),Khojaly,76.5,65.8,19.3,60.4,77.4,88.7
40,5.1,Number of hotels and similar establishments (units),Kurdamir,1.2,1.0,0.3,0.8,1.1,1.6
40,5.1,Number of hotels and similar establishments (units),Lachin,23.5,20.1,7.0,19.1,23.1,26.9
40,5.1,Number of hotels and similar establishments (units),Lankaran,1.0,1.0,0.4,1.0,1.6,1.7
40,5.1,Number of hotels and similar establishments (units),Lerik,1.0,1.0,0.4,1.0,1.4,3.3
40,5.1,Number of hotels and similar establishments (units),Masally,1.3,1.6,0.4,1.0,1.1,1.6
40,5.1,Number of hotels and similar establishments (units),Mingachevir,1.0,1.0,0.3,0.8,2.4,1.2
40,5.1,Number of hotels and similar establishments (units),Naftalan,16.0,12.6,4.3,13.3,16.6,15.4
40,5.1,Number of hotels and similar establishments (units),Nakhchivan,1.0,1.3,0.3,0.9,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Neftchala,2.1,1.3,0.3,0.9,1.1,1.6
40,5.1,Number of hotels and similar establishments (units),Oghuz,1.0,1.0,0.4,1.1,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Ordubad,1.0,1.0,0.6,1.0,1.1,1.7
40,5.1,Number of hotels and similar establishments (units),Qabala,2.1,1.5,0.3,0.8,1.8,1.2
40,5.1,Number of hotels and similar establishments (units),Qakh,1.2,1.4,0.3,0.8,1.1,1.2
40,5.1,Number of hotels and similar establishments (units),Qazakh,1.0,1.0,0.5,0.8,1.1,1.3
40,5.1,Number of hotels and similar establishments (units),Quba,1.7,1.0,0.5,0.8,1.1,1.4
