year,visitor_type,visitor_type_en,purpose,count_thousands,count
2006,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,1262.0,1262000
2007,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,1332.7,1332700
2008,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,1898.9,1898900
2009,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,1830.4,1830400
2010,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,1962.9,1962900
2011,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2239.2,2239200
2012,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2484.1,2484100
2013,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2508.9,2508900
2014,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2297.8,2297800
2015,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2006.2,2006200
2016,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2248.8,2248800
2017,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2696.7,2696700
2018,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2849.6,2849600
2019,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,3170.4,3170400
2020,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,795.7,795700
2021,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,791.8,791800
2022,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,1602.3,1602300
2023,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2085.8,2085800
2024,Azərbaycana gələn əcnəbilər,incoming_foreigners,cəmi,2626.7,2626700
2006,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,681.8,681800
2007,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,731.7,731700
2008,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,1042.5,1042500
2009,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,1005.4,1005400
2010,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,1279.8,1279800
2011,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,1561.9,1561900
2012,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,1985.9,1985900
2013,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,2129.5,2129500
2014,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,2159.7,2159700
2015,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,1921.9,1921900
2016,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,2044.7,2044700
2017,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,2454.0,2454000
2018,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,2605.3,2605300
2019,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,2863.5,2863500
2020,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,519.4,519400
2021,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,461.7,461700
2022,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,1058.1,1058100
2023,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,1402.6,1402600
2024,Azərbaycana gələn əcnəbilər,incoming_foreigners,turizm,1855.1,1855100
2006,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",398.2,398200
2007,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",427.3,427300
2008,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",608.8,608800
2009,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",587.2,587200
2010,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",661.7,661700
2011,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",519.8,519800
2012,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",687.8,687800
2013,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",705.2,705200
2014,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",709.9,709900
2015,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",668.8,668800
2016,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",697.1,697100
2017,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",839.3,839300
2018,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",1042.4,1042400
2019,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",1164.0,1164000
2020,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",164.9,164900
2021,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",132.4,132400
2022,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",398.5,398500
2023,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",938.3,938300
2024,Azərbaycana gələn əcnəbilər,incoming_foreigners,"istirahət, əyləncə",1261.6,1261600
2006,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,257.7,257700
2007,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,276.6,276600
2008,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,394.1,394100
2009,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,380.0,380000
2010,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,547.6,547600
2011,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,591.9,591900
2012,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,595.3,595300
2013,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,648.9,648900
2014,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,670.5,670500
2015,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,632.3,632300
2016,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,691.7,691700
2017,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,834.4,834400
2018,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,787.4,787400
2019,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,850.5,850500
2020,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,177.5,177500
2021,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,196.7,196700
2022,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,400.5,400500
2023,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,156.6,156600
2024,Azərbaycana gələn əcnəbilər,incoming_foreigners,işgüzar,261.0,261000
2006,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,7.5,7500
2007,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,8.0,8000
2008,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,11.5,11500
2009,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,11.1,11100
2010,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,14.1,14100
2011,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,33.3,33300
2012,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,43.0,43000
2013,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,46.2,46200
2014,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,46.3,46300
2015,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,36.5,36500
2016,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,41.5,41500
2017,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,49.1,49100
2018,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,63.1,63100
2019,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,63.9,63900
2020,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,10.4,10400
2021,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,8.3,8300
2022,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,14.0,14000
2023,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,19.9,19900
2024,Azərbaycana gələn əcnəbilər,incoming_foreigners,müalicə,23.2,23200
2006,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,4.1,4100
2007,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,4.4,4400
2008,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,6.3,6300
2009,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,6.0,6000
2010,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,10.2,10200
2011,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,10.5,10500
2012,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,13.2,13200
2013,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,13.7,13700
2014,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,13.7,13700
2015,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,11.5,11500
2016,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,12.6,12600
2017,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,14.7,14700
2018,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,15.3,15300
2019,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,16.6,16600
2020,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,3.0,3000
2021,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,0.9,900
2022,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,2.2,2200
2023,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,2.7,2700
2024,Azərbaycana gələn əcnəbilər,incoming_foreigners,dini,3.3,3300
2011,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,374.7,374700
2012,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,607.8,607800
2013,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,673.7,673700
2014,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,677.1,677100
2015,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,542.0,542000
2016,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,562.0,562000
2017,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,674.9,674900
2018,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,651.6,651600
2019,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,719.9,719900
2020,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,133.2,133200
2021,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,100.7,100700
2022,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,184.8,184800
2023,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,240.7,240700
2024,Azərbaycana gələn əcnəbilər,incoming_foreigners,qohum ziyarəti,263.8,263800
2006,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,14.3,14300
2007,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,15.4,15400
2008,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,21.8,21800
2009,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,21.1,21100
2010,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,46.2,46200
2011,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,31.7,31700
2012,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,38.8,38800
2013,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,41.8,41800
2014,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,42.2,42200
2015,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,30.8,30800
2016,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,39.8,39800
2017,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,41.6,41600
2018,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,45.5,45500
2019,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,48.6,48600
2020,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,30.4,30400
2021,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,22.7,22700
2022,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,58.1,58100
2023,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,44.4,44400
2024,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər turizm,42.2,42200
2006,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,580.2,580200
2007,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,601.0,601000
2008,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,856.4,856400
2009,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,825.0,825000
2010,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,683.1,683100
2011,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,677.3,677300
2012,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,498.2,498200
2013,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,379.4,379400
2014,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,138.1,138100
2015,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,84.3,84300
2016,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,204.1,204100
2017,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,242.7,242700
2018,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,244.3,244300
2019,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,306.9,306900
2020,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,276.3,276300
2021,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,330.1,330100
2022,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,544.2,544200
2023,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,683.2,683200
2024,Azərbaycana gələn əcnəbilər,incoming_foreigners,digər məqsədlər,771.6,771600
2006,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,1835.9,1835900
2007,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,1631.3,1631300
2008,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,2162.4,2162400
2009,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,2362.5,2362500
2010,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,3175.6,3175600
2011,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,3550.2,3550200
2012,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,3874.4,3874400
2013,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,4284.7,4284700
2014,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,4244.3,4244300
2015,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,4095.8,4095800
2016,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,4281.9,4281900
2017,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,4108.9,4108900
2018,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,4908.1,4908100
2019,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,5567.7,5567700
2020,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,1164.6,1164600
2021,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,974.5,974500
2022,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,1489.5,1489500
2023,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,1868.7,1868700
2024,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,cəmi,2158.9,2158900
2006,Xarici ölkələrə gedən Azərbaycan vətəndaşları,outgoing_citizens,turizm,889.9,889900
