year,direction,direction_en,transport_type,value_thousands,value
2006,gələn,incoming,avtomobil,767.3,767300
2007,gələn,incoming,avtomobil,814.3,814300
2008,gələn,incoming,avtomobil,989.3,989300
2009,gələn,incoming,avtomobil,638.8,638800
2010,gələn,incoming,avtomobil,720.4,720400
2011,gələn,incoming,avtomobil,792.2,792200
2012,gələn,incoming,avtomobil,891.7,891700
2013,gələn,incoming,avtomobil,928.2,928200
2014,gələn,incoming,avtomobil,748.9,748900
2015,gələn,incoming,avtomobil,660.0,660000
2016,gələn,incoming,avtomobil,701.2,701200
2017,gələn,incoming,avtomobil,1089.6,1089600
2018,gələn,incoming,avtomobil,1130.8,1130800
2019,gələn,incoming,avtomobil,1268.2,1268200
2020,gələn,incoming,avtomobil,505.0,505000
2021,gələn,incoming,avtomobil,385.6,385600
2022,gələn,incoming,avtomobil,530.6,530600
2023,gələn,incoming,avtomobil,565.7,565700
2024,gələn,incoming,avtomobil,602.8,602800
2006,gələn,incoming,dəmir yolu,204.4,204400
2007,gələn,incoming,dəmir yolu,211.9,211900
2008,gələn,incoming,dəmir yolu,322.8,322800
2009,gələn,incoming,dəmir yolu,287.4,287400
2010,gələn,incoming,dəmir yolu,312.1,312100
2011,gələn,incoming,dəmir yolu,372.8,372800
2012,gələn,incoming,dəmir yolu,404.4,404400
2013,gələn,incoming,dəmir yolu,378.8,378800
2014,gələn,incoming,dəmir yolu,293.4,293400
2015,gələn,incoming,dəmir yolu,230.7,230700
2016,gələn,incoming,dəmir yolu,256.8,256800
2017,gələn,incoming,dəmir yolu,306.9,306900
2018,gələn,incoming,dəmir yolu,361.4,361400
2019,gələn,incoming,dəmir yolu,408.9,408900
2020,gələn,incoming,dəmir yolu,14.9,14900
2021,gələn,incoming,dəmir yolu,1.1,1100
2022,gələn,incoming,dəmir yolu,2.4,2400
2023,gələn,incoming,dəmir yolu,3.1,3100
2024,gələn,incoming,dəmir yolu,3.6,3600
2006,gələn,incoming,hava nəqliyyatı,281.4,281400
2007,gələn,incoming,hava nəqliyyatı,297.2,297200
2008,gələn,incoming,hava nəqliyyatı,571.6,571600
2009,gələn,incoming,hava nəqliyyatı,624.2,624200
2010,gələn,incoming,hava nəqliyyatı,645.8,645800
2011,gələn,incoming,hava nəqliyyatı,795.5,795500
2012,gələn,incoming,hava nəqliyyatı,946.4,946400
2013,gələn,incoming,hava nəqliyyatı,993.5,993500
2014,gələn,incoming,hava nəqliyyatı,1089.2,1089200
2015,gələn,incoming,hava nəqliyyatı,968.9,968900
2016,gələn,incoming,hava nəqliyyatı,1164.9,1164900
2017,gələn,incoming,hava nəqliyyatı,1151.5,1151500
2018,gələn,incoming,hava nəqliyyatı,1183.8,1183800
2019,gələn,incoming,hava nəqliyyatı,1285.2,1285200
2020,gələn,incoming,hava nəqliyyatı,219.4,219400
2021,gələn,incoming,hava nəqliyyatı,380.2,380200
2022,gələn,incoming,hava nəqliyyatı,1042.1,1042100
2023,gələn,incoming,hava nəqliyyatı,1490.1,1490100
2024,gələn,incoming,hava nəqliyyatı,1986.8,1986800
2006,gələn,incoming,su nəqliyyatı,8.9,8900
2007,gələn,incoming,su nəqliyyatı,9.3,9300
2008,gələn,incoming,su nəqliyyatı,15.2,15200
2009,gələn,incoming,su nəqliyyatı,12.8,12800
2010,gələn,incoming,su nəqliyyatı,14.1,14100
2011,gələn,incoming,su nəqliyyatı,19.9,19900
2012,gələn,incoming,su nəqliyyatı,21.2,21200
2013,gələn,incoming,su nəqliyyatı,26.6,26600
2014,gələn,incoming,su nəqliyyatı,16.1,16100
2015,gələn,incoming,su nəqliyyatı,32.1,32100
2016,gələn,incoming,su nəqliyyatı,16.8,16800
2017,gələn,incoming,su nəqliyyatı,18.9,18900
2018,gələn,incoming,su nəqliyyatı,28.3,28300
2019,gələn,incoming,su nəqliyyatı,24.5,24500
2020,gələn,incoming,su nəqliyyatı,19.7,19700
2021,gələn,incoming,su nəqliyyatı,17.1,17100
2022,gələn,incoming,su nəqliyyatı,24.0,24000
2023,gələn,incoming,su nəqliyyatı,26.9,26900
2024,gələn,incoming,su nəqliyyatı,33.5,33500
2009,gələn,incoming,digər,267.2,267200
2010,gələn,incoming,digər,270.5,270500
2011,gələn,incoming,digər,258.8,258800
2012,gələn,incoming,digər,220.4,220400
2013,gələn,incoming,digər,181.8,181800
2014,gələn,incoming,digər,150.2,150200
2015,gələn,incoming,digər,114.5,114500
2016,gələn,incoming,digər,109.1,109100
2017,gələn,incoming,digər,129.8,129800
2018,gələn,incoming,digər,145.3,145300
2019,gələn,incoming,digər,183.6,183600
2020,gələn,incoming,digər,36.7,36700
2021,gələn,incoming,digər,7.8,7800
2022,gələn,incoming,digər,3.2,3200
2006,gedən,outgoing,avtomobil,1147.2,1147200
2007,gedən,outgoing,avtomobil,987.9,987900
2008,gedən,outgoing,avtomobil,1353.6,1353600
2009,gedən,outgoing,avtomobil,1119.8,1119800
2010,gedən,outgoing,avtomobil,1473.5,1473500
2011,gedən,outgoing,avtomobil,1824.9,1824900
2012,gedən,outgoing,avtomobil,2030.3,2030300
2013,gedən,outgoing,avtomobil,2518.0,2518000
2014,gedən,outgoing,avtomobil,2711.0,2711000
2015,gedən,outgoing,avtomobil,2610.8,2610800
2016,gedən,outgoing,avtomobil,2720.5,2720500
2017,gedən,outgoing,avtomobil,2616.0,2616000
2018,gedən,outgoing,avtomobil,3155.5,3155500
2019,gedən,outgoing,avtomobil,3636.9,3636900
2020,gedən,outgoing,avtomobil,738.3,738300
2021,gedən,outgoing,avtomobil,261.2,261200
2022,gedən,outgoing,avtomobil,469.8,469800
2023,gedən,outgoing,avtomobil,558.7,558700
2024,gedən,outgoing,avtomobil,612.5,612500
2006,gedən,outgoing,dəmir yolu,266.4,266400
2007,gedən,outgoing,dəmir yolu,265.3,265300
2008,gedən,outgoing,dəmir yolu,363.3,363300
