rayon,category,count,share_pct,lon,lat
Agdam,Otel,36,100.0,46.95,40.05
Aghjabadi,Otel,8,100.0,47.37,40.05
Barda,Otel,13,100.0,47.13,40.38
Beylagan,Otel,26,100.0,47.62,39.78
Fuzuli,Otel,101,100.0,47.17,39.58
Jabrayil,Otel,63,100.0,47.0,39.4
Khojaly,Otel,72,100.0,46.8,39.9
Lachin,Otel,23,100.0,46.37,39.63
Naftalan,Otel,15,100.0,46.82,40.5
Qazakh,Destinasyon,20,3.6,45.37,41.1
Qazakh,Diger_Tesis,69,12.5,45.37,41.1
Qazakh,Doga_Alani,54,9.8,45.37,41.1
Qazakh,Kultur_Merkezi,198,36.0,45.37,41.1
Qazakh,Tarihi_Anit,30,5.5,45.37,41.1
Qazakh,Turizm_Bolgesi,110,20.0,45.37,41.1
Qazakh,Ulasim,69,12.5,45.37,41.1
Qubadli,Otel,8,100.0,46.5,39.35
Shusha,Otel,120,100.0,46.75,39.75
Tartar,Otel,50,100.0,46.85,40.33
