rayon,tourism_density,poi_count
Khachmaz,17.099999999999998,58
Shamakhi,14.16,47
Sabirabad,13.5,11
Quba,13.29,206
Shabran,12.95,16
Hajigabul,11.47,32
Masally,11.45,6
Saatly,10.42,5
Salyan,10.35,71
Gobustan,9.72,11
Jalilabad,9.7,5
Ismayilli,8.99,57
Lerik,7.35,7
Agsu,7.05,24
Khizi,7.05,6
Bilasuvar,6.5,1
Neftchala,5.94,6
Qusar,5.64,6
Astara,5.449999999999999,8
Khojaly,5.42,115
Absheron,5.1,51
Siazan,5.0,6
Baku,4.85,1593
Lankaran,4.35,17
Zaqatala,4.32,49
Kurdamir,3.49,28
Yevlakh,3.3,48
Imishli,2.79,5
Qabala,2.45,95
Goranboy,2.32,56
Qakh,1.85,39
Shaki,1.7,86
Jabrayil,1.65,26
Yardimli,1.5,0
Lachin,1.45,31
Khojavand,1.22,113
Fuzuli,1.15,84
Oghuz,1.12,18
Goygol,1.05,66
Agdash,0.8,17
Samukh,0.75,11
Kalbajar,0.72,38
Tartar,0.7,78
Agdam,0.6699999999999999,48
Zardab,0.62,6
Beylagan,0.45,16
Sumqayit,0.35,70
Shirvan,0.35,14
Goychay,0.3,24
Dashkasan,0.3,16
Zangilan,0.3,1
Ujar,0.27,4
Balakan,0.25,28
Barda,0.15,13
Shusha,0.15,35
Qubadli,0.1,9
Agstafa,0.1,35
Aghjabadi,0.1,25
