rayon,total_features,category_count,simpson_index,lon,lat
Absheron,0,0,0.0,49.85,40.45
Agdam,36,1,0.0,46.95,40.05
Agdash,0,0,0.0,47.47,40.63
Aghjabadi,8,1,0.0,47.37,40.05
Agstafa,0,0,0.0,45.45,41.12
Agsu,0,0,0.0,48.38,40.57
Astara,0,0,0.0,48.87,38.43
Babek,0,0,0.0,45.45,39.15
Baku,0,0,0.0,49.87,40.41
Balakan,0,0,0.0,46.78,41.73
Barda,13,1,0.0,47.13,40.38
Beylagan,26,1,0.0,47.62,39.78
Bilasuvar,0,0,0.0,48.53,39.47
Dashkasan,0,0,0.0,46.08,40.52
Fuzuli,101,1,0.0,47.17,39.58
Gadabay,0,0,0.0,45.8,40.57
Ganja,0,0,0.0,46.36,40.68
Goranboy,0,0,0.0,46.78,40.6
Goychay,0,0,0.0,47.73,40.65
Goygol,0,0,0.0,46.33,40.58
Hajigabul,0,0,0.0,48.93,40.03
Imishli,0,0,0.0,48.07,39.87
Ismayilli,0,0,0.0,48.15,40.78
Jabrayil,63,1,0.0,47.0,39.4
Jalilabad,0,0,0.0,48.57,39.2
Julfa,0,0,0.0,45.57,38.95
Kalbajar,0,0,0.0,46.03,40.1
Kangarli,0,0,0.0,45.17,39.45
Khachmaz,0,0,0.0,48.8,41.47
Khizi,0,0,0.0,49.12,40.9
Khojaly,72,1,0.0,46.8,39.9
Kurdamir,0,0,0.0,48.17,40.33
Lachin,23,1,0.0,46.37,39.63
Lankaran,0,0,0.0,48.83,38.75
Lerik,0,0,0.0,48.42,38.78
Masally,0,0,0.0,48.68,39.03
Mingachevir,0,0,0.0,47.05,40.77
Naftalan,15,1,0.0,46.82,40.5
Nakhchivan,0,0,0.0,45.42,39.2
Neftchala,0,0,0.0,49.25,39.35
Oghuz,0,0,0.0,47.57,41.07
Ordubad,0,0,0.0,45.97,38.9
Qabala,0,0,0.0,47.85,40.98
Qakh,0,0,0.0,46.92,41.42
Qazakh,550,7,0.785,45.37,41.1
Quba,0,0,0.0,48.5,41.37
Qubadli,8,1,0.0,46.5,39.35
Qusar,0,0,0.0,48.4,41.43
Saatly,0,0,0.0,48.5,39.93
Sabirabad,0,0,0.0,48.48,40.0
Salyan,0,0,0.0,48.98,39.6
Samukh,0,0,0.0,46.42,40.95
Sedarak,0,0,0.0,44.88,39.7
Shabran,0,0,0.0,48.87,41.22
Shahbuz,0,0,0.0,45.55,39.4
Shaki,0,0,0.0,47.17,41.2
Shamakhi,0,0,0.0,48.93,40.63
Shamkir,0,0,0.0,46.02,40.83
Sharur,0,0,0.0,45.15,39.55
Shirvan,0,0,0.0,48.92,39.93
Shusha,120,1,0.0,46.75,39.75
Siazan,0,0,0.0,49.07,41.08
Sumqayit,0,0,0.0,49.67,40.58
Tartar,50,1,0.0,46.85,40.33
Tovuz,0,0,0.0,45.62,40.97
Ujar,0,0,0.0,47.65,40.52
Yardimli,0,0,0.0,48.23,38.9
Yevlakh,0,0,0.0,47.15,40.62
Zangilan,0,0,0.0,46.65,39.08
Zaqatala,0,0,0.0,46.65,41.63
Zardab,0,0,0.0,47.72,40.22
