rayon,source,count
,all_tourism_points,535
,osm_accommodation,1550
,osm_attractions,1696
,osm_cultural,527
,osm_entertainment,1133
,osm_food_drink,2329
,osm_hamams,40
,osm_natural,6231
,osm_religious,1508
,osm_shopping,3895
,osm_sports,6453
,osm_tourism_historic,737
,osm_transportation_hubs,79
Baku,azerbaijan_travel,5
Gabala,azerbaijan_travel,1
Ganja,azerbaijan_travel,1
Goygol,azerbaijan_travel,1
Gusar,azerbaijan_travel,1
Khizi,azerbaijan_travel,2
Lankaran,azerbaijan_travel,7
Naftalan,azerbaijan_travel,1
Quba,azerbaijan_travel,5
Shamakhi,azerbaijan_travel,2
Shamkir,azerbaijan_travel,2
Sheki,azerbaijan_travel,1
Unknown,google_mymaps,149
Zagatala,azerbaijan_travel,2
