rayon,category,count,lon,lat
Agdam,Otel,36,46.95,40.05
Aghjabadi,Otel,8,47.37,40.05
Barda,Otel,13,47.13,40.38
Beylagan,Otel,26,47.62,39.78
Fuzuli,Otel,101,47.17,39.58
Jabrayil,Otel,63,47.0,39.4
Khojaly,Otel,72,46.8,39.9
Lachin,Otel,23,46.37,39.63
Naftalan,Otel,15,46.82,40.5
Qazakh,Destinasyon,20,45.37,41.1
Qazakh,Diger_Tesis,69,45.37,41.1
Qazakh,Doga_Alani,54,45.37,41.1
Qazakh,Kultur_Merkezi,198,45.37,41.1
Qazakh,Tarihi_Anit,30,45.37,41.1
Qazakh,Turizm_Bolgesi,110,45.37,41.1
Qazakh,Ulasim,69,45.37,41.1
Qubadli,Otel,8,46.5,39.35
Shusha,Otel,120,46.75,39.75
Tartar,Otel,50,46.85,40.33
