rayon,total,Destinasyon,Diger_Tesis,Doga_Alani,Kultur_Merkezi,Otel,Tarihi_Anit,Turizm_Bolgesi,Ulasim,lon,lat,tourism_density
Absheron,0,0,0,0,0,0,0,0,0,49.85,40.45,5.1
Agdam,36,0,0,0,0,36,0,0,0,46.95,40.05,0.6699999999999999
Agdash,0,0,0,0,0,0,0,0,0,47.47,40.63,0.8
Aghjabadi,8,0,0,0,0,8,0,0,0,47.37,40.05,0.1
Agstafa,0,0,0,0,0,0,0,0,0,45.45,41.12,0.1
Agsu,0,0,0,0,0,0,0,0,0,48.38,40.57,7.05
Astara,0,0,0,0,0,0,0,0,0,48.87,38.43,5.449999999999999
Babek,0,0,0,0,0,0,0,0,0,45.45,39.15,0.0
Baku,0,0,0,0,0,0,0,0,0,49.87,40.41,4.85
Balakan,0,0,0,0,0,0,0,0,0,46.78,41.73,0.25
Barda,13,0,0,0,0,13,0,0,0,47.13,40.38,0.15
Beylagan,26,0,0,0,0,26,0,0,0,47.62,39.78,0.45
Bilasuvar,0,0,0,0,0,0,0,0,0,48.53,39.47,6.5
Dashkasan,0,0,0,0,0,0,0,0,0,46.08,40.52,0.3
Fuzuli,101,0,0,0,0,101,0,0,0,47.17,39.58,1.15
Gadabay,0,0,0,0,0,0,0,0,0,45.8,40.57,0.0
Ganja,0,0,0,0,0,0,0,0,0,46.36,40.68,0.0
Goranboy,0,0,0,0,0,0,0,0,0,46.78,40.6,2.32
Goychay,0,0,0,0,0,0,0,0,0,47.73,40.65,0.3
Goygol,0,0,0,0,0,0,0,0,0,46.33,40.58,1.05
Hajigabul,0,0,0,0,0,0,0,0,0,48.93,40.03,11.47
Imishli,0,0,0,0,0,0,0,0,0,48.07,39.87,2.79
Ismayilli,0,0,0,0,0,0,0,0,0,48.15,40.78,8.99
Jabrayil,63,0,0,0,0,63,0,0,0,47.0,39.4,1.65
Jalilabad,0,0,0,0,0,0,0,0,0,48.57,39.2,9.7
Julfa,0,0,0,0,0,0,0,0,0,45.57,38.95,0.0
Kalbajar,0,0,0,0,0,0,0,0,0,46.03,40.1,0.72
Kangarli,0,0,0,0,0,0,0,0,0,45.17,39.45,0.0
Khachmaz,0,0,0,0,0,0,0,0,0,48.8,41.47,17.099999999999998
Khizi,0,0,0,0,0,0,0,0,0,49.12,40.9,7.05
Khojaly,72,0,0,0,0,72,0,0,0,46.8,39.9,5.42
Kurdamir,0,0,0,0,0,0,0,0,0,48.17,40.33,3.49
Lachin,23,0,0,0,0,23,0,0,0,46.37,39.63,1.45
Lankaran,0,0,0,0,0,0,0,0,0,48.83,38.75,4.35
Lerik,0,0,0,0,0,0,0,0,0,48.42,38.78,7.35
Masally,0,0,0,0,0,0,0,0,0,48.68,39.03,11.45
Mingachevir,0,0,0,0,0,0,0,0,0,47.05,40.77,0.0
Naftalan,15,0,0,0,0,15,0,0,0,46.82,40.5,0.0
Nakhchivan,0,0,0,0,0,0,0,0,0,45.42,39.2,0.0
Neftchala,0,0,0,0,0,0,0,0,0,49.25,39.35,5.94
Oghuz,0,0,0,0,0,0,0,0,0,47.57,41.07,1.12
Ordubad,0,0,0,0,0,0,0,0,0,45.97,38.9,0.0
Qabala,0,0,0,0,0,0,0,0,0,47.85,40.98,2.45
Qakh,0,0,0,0,0,0,0,0,0,46.92,41.42,1.85
Qazakh,550,20,69,54,198,0,30,110,69,45.37,41.1,0.0
Quba,0,0,0,0,0,0,0,0,0,48.5,41.37,13.29
Qubadli,8,0,0,0,0,8,0,0,0,46.5,39.35,0.1
Qusar,0,0,0,0,0,0,0,0,0,48.4,41.43,5.64
Saatly,0,0,0,0,0,0,0,0,0,48.5,39.93,10.42
Sabirabad,0,0,0,0,0,0,0,0,0,48.48,40.0,13.5
Salyan,0,0,0,0,0,0,0,0,0,48.98,39.6,10.35
Samukh,0,0,0,0,0,0,0,0,0,46.42,40.95,0.75
Sedarak,0,0,0,0,0,0,0,0,0,44.88,39.7,0.0
Shabran,0,0,0,0,0,0,0,0,0,48.87,41.22,12.95
Shahbuz,0,0,0,0,0,0,0,0,0,45.55,39.4,0.0
Shaki,0,0,0,0,0,0,0,0,0,47.17,41.2,1.7
Shamakhi,0,0,0,0,0,0,0,0,0,48.93,40.63,14.16
Shamkir,0,0,0,0,0,0,0,0,0,46.02,40.83,0.0
Sharur,0,0,0,0,0,0,0,0,0,45.15,39.55,0.0
Shirvan,0,0,0,0,0,0,0,0,0,48.92,39.93,0.35
Shusha,120,0,0,0,0,120,0,0,0,46.75,39.75,0.15
Siazan,0,0,0,0,0,0,0,0,0,49.07,41.08,5.0
Sumqayit,0,0,0,0,0,0,0,0,0,49.67,40.58,0.35
Tartar,50,0,0,0,0,50,0,0,0,46.85,40.33,0.7
Tovuz,0,0,0,0,0,0,0,0,0,45.62,40.97,0.0
Ujar,0,0,0,0,0,0,0,0,0,47.65,40.52,0.27
Yardimli,0,0,0,0,0,0,0,0,0,48.23,38.9,1.5
Yevlakh,0,0,0,0,0,0,0,0,0,47.15,40.62,3.3
Zangilan,0,0,0,0,0,0,0,0,0,46.65,39.08,0.3
Zaqatala,0,0,0,0,0,0,0,0,0,46.65,41.63,4.32
Zardab,0,0,0,0,0,0,0,0,0,47.72,40.22,0.62
