rayon_id,rayon_name,year,facilities,rooms,beds,total_guests,domestic_tourists,foreign_tourists,total_nights,domestic_nights,foreign_nights,occupancy_rate,avg_stay,revenue_azn,employees,travel_agencies,population,area_km2
absheron,Absheron,2005,,,,,,,,,,,,,,,,
absheron,Absheron,2010,,,,,,,,,,,,,,,,
absheron,Absheron,2015,,,,,,,,,,,,,,,,
absheron,Absheron,2019,,,,,,,,,,,,,,,,
absheron,Absheron,2020,,,,,,,,,,,,,,,,
absheron,Absheron,2021,,,,,,,,,,,,,,,,
absheron,Absheron,2022,,,,,,,,,,,,,,,,
absheron,Absheron,2023,,,,,,,,,,,,,,,,
absheron,Absheron,2024,,,,,,,,,,,,,,,,
absheron,Absheron,2025,,,,,,,,,,,,,,,,
agdam,Agdam,2005,,,,,,,,,,,,,,,,
agdam,Agdam,2010,,,,,,,,,,,,,,,,
agdam,Agdam,2015,,,,,,,,,,,,,,,,
agdam,Agdam,2019,,,,,,,,,,,,,,,,
agdam,Agdam,2020,,,,,,,,,,,,,,,,
agdam,Agdam,2021,,,,,,,,,,,,,,,,
agdam,Agdam,2022,,,,,,,,,,,,,,,,
agdam,Agdam,2023,,,,,,,,,,,,,,,,
agdam,Agdam,2024,,,,,,,,,,,,,,,,
agdam,Agdam,2025,,,,,,,,,,,,,,,,
agdash,Agdash,2005,,,,,,,,,,,,,,,,
agdash,Agdash,2010,,,,,,,,,,,,,,,,
agdash,Agdash,2015,,,,,,,,,,,,,,,,
agdash,Agdash,2019,,,,,,,,,,,,,,,,
agdash,Agdash,2020,,,,,,,,,,,,,,,,
agdash,Agdash,2021,,,,,,,,,,,,,,,,
agdash,Agdash,2022,,,,,,,,,,,,,,,,
agdash,Agdash,2023,,,,,,,,,,,,,,,,
agdash,Agdash,2024,,,,,,,,,,,,,,,,
agdash,Agdash,2025,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2005,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2010,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2015,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2019,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2020,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2021,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2022,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2023,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2024,,,,,,,,,,,,,,,,
aghjabadi,Aghjabadi,2025,,,,,,,,,,,,,,,,
agstafa,Agstafa,2005,,,,,,,,,,,,,,,,
agstafa,Agstafa,2010,,,,,,,,,,,,,,,,
agstafa,Agstafa,2015,,,,,,,,,,,,,,,,
agstafa,Agstafa,2019,,,,,,,,,,,,,,,,
agstafa,Agstafa,2020,,,,,,,,,,,,,,,,
agstafa,Agstafa,2021,,,,,,,,,,,,,,,,
agstafa,Agstafa,2022,,,,,,,,,,,,,,,,
agstafa,Agstafa,2023,,,,,,,,,,,,,,,,
agstafa,Agstafa,2024,,,,,,,,,,,,,,,,
agstafa,Agstafa,2025,,,,,,,,,,,,,,,,
agsu,Agsu,2005,,,,,,,,,,,,,,,,
agsu,Agsu,2010,,,,,,,,,,,,,,,,
agsu,Agsu,2015,,,,,,,,,,,,,,,,
agsu,Agsu,2019,,,,,,,,,,,,,,,,
agsu,Agsu,2020,,,,,,,,,,,,,,,,
agsu,Agsu,2021,,,,,,,,,,,,,,,,
agsu,Agsu,2022,,,,,,,,,,,,,,,,
agsu,Agsu,2023,,,,,,,,,,,,,,,,
agsu,Agsu,2024,,,,,,,,,,,,,,,,
agsu,Agsu,2025,,,,,,,,,,,,,,,,
astara,Astara,2005,,,,,,,,,,,,,,,,
astara,Astara,2010,,,,,,,,,,,,,,,,
astara,Astara,2015,,,,,,,,,,,,,,,,
astara,Astara,2019,,,,,,,,,,,,,,,,
astara,Astara,2020,,,,,,,,,,,,,,,,
astara,Astara,2021,,,,,,,,,,,,,,,,
astara,Astara,2022,,,,,,,,,,,,,,,,
astara,Astara,2023,,,,,,,,,,,,,,,,
astara,Astara,2024,,,,,,,,,,,,,,,,
astara,Astara,2025,,,,,,,,,,,,,,,,
babek,Babek,2005,,,,,,,,,,,,,,,,
babek,Babek,2010,,,,,,,,,,,,,,,,
babek,Babek,2015,,,,,,,,,,,,,,,,
babek,Babek,2019,,,,,,,,,,,,,,,,
babek,Babek,2020,,,,,,,,,,,,,,,,
babek,Babek,2021,,,,,,,,,,,,,,,,
babek,Babek,2022,,,,,,,,,,,,,,,,
babek,Babek,2023,,,,,,,,,,,,,,,,
babek,Babek,2024,,,,,,,,,,,,,,,,
babek,Babek,2025,,,,,,,,,,,,,,,,
baku,Baku,2005,,,,,,,,,,,,,,,,
baku,Baku,2010,,,,,,,,,,,,,,,,
baku,Baku,2015,,,,,,,,,,,,,,,,
baku,Baku,2019,,,,,,,,,,,,,,,,
baku,Baku,2020,,,,,,,,,,,,,,,,
baku,Baku,2021,,,,,,,,,,,,,,,,
baku,Baku,2022,,,,,,,,,,,,,,,,
baku,Baku,2023,,,,,,,,,,,,,,,,
baku,Baku,2024,,,,,,,,,,,,,,,,
baku,Baku,2025,,,,,,,,,,,,,,,,
balakan,Balakan,2005,,,,,,,,,,,,,,,,
balakan,Balakan,2010,,,,,,,,,,,,,,,,
balakan,Balakan,2015,,,,,,,,,,,,,,,,
balakan,Balakan,2019,,,,,,,,,,,,,,,,
balakan,Balakan,2020,,,,,,,,,,,,,,,,
balakan,Balakan,2021,,,,,,,,,,,,,,,,
balakan,Balakan,2022,,,,,,,,,,,,,,,,
balakan,Balakan,2023,,,,,,,,,,,,,,,,
balakan,Balakan,2024,,,,,,,,,,,,,,,,
balakan,Balakan,2025,,,,,,,,,,,,,,,,
barda,Barda,2005,,,,,,,,,,,,,,,,
barda,Barda,2010,,,,,,,,,,,,,,,,
barda,Barda,2015,,,,,,,,,,,,,,,,
barda,Barda,2019,,,,,,,,,,,,,,,,
barda,Barda,2020,,,,,,,,,,,,,,,,
barda,Barda,2021,,,,,,,,,,,,,,,,
barda,Barda,2022,,,,,,,,,,,,,,,,
barda,Barda,2023,,,,,,,,,,,,,,,,
barda,Barda,2024,,,,,,,,,,,,,,,,
barda,Barda,2025,,,,,,,,,,,,,,,,
beylagan,Beylagan,2005,,,,,,,,,,,,,,,,
beylagan,Beylagan,2010,,,,,,,,,,,,,,,,
beylagan,Beylagan,2015,,,,,,,,,,,,,,,,
beylagan,Beylagan,2019,,,,,,,,,,,,,,,,
beylagan,Beylagan,2020,,,,,,,,,,,,,,,,
beylagan,Beylagan,2021,,,,,,,,,,,,,,,,
beylagan,Beylagan,2022,,,,,,,,,,,,,,,,
beylagan,Beylagan,2023,,,,,,,,,,,,,,,,
beylagan,Beylagan,2024,,,,,,,,,,,,,,,,
beylagan,Beylagan,2025,,,,,,,,,,,,,,,,
bilasuvar,Bilasuvar,2005,,,,,,,,,,,,,,,,
bilasuvar,Bilasuvar,2010,,,,,,,,,,,,,,,,
bilasuvar,Bilasuvar,2015,,,,,,,,,,,,,,,,
bilasuvar,Bilasuvar,2019,,,,,,,,,,,,,,,,
bilasuvar,Bilasuvar,2020,,,,,,,,,,,,,,,,
bilasuvar,Bilasuvar,2021,,,,,,,,,,,,,,,,
